"main.id","hpq_aquaequip.id","aquaequip_line","aquaequiptype","aquaequiptype_o","aquaequiptype_own"
"199716","0","9","1","","2"
"199719","0","7","1","","2"
"199719","1","8","8","none","1"
"199719","2","9","1","","1"
"199720","0","19","1","","2"
"200614","0","5","1","","1"
"200623","0","3","8","fish hook","2"
"203407","0","10","1","","1"
"203415","0","6","6","","1"
"203416","0","13","6","","1"
"203418","0","6","6","","1"
"203422","0","23","6","","1"
"203564","0","9","8","biwas","1"
"203564","1","10","8","nylon","1"
"203566","0","10","8","salapang","1"
"203566","1","11","8","flashlight","1"
"203577","0","8","8","biwas","1"
"203577","1","9","8","nylon","1"
"203579","0","5","8","nylon","1"
"203579","1","6","8","biwas","1"
"206296","0","4","6","","1"
"206297","0","4","6","","1"
"206300","0","5","6","","1"
"206349","0","9","1","","2"
"206436","0","5","1","","1"
"206436","1","6","8","Fish hook","1"
"206443","0","11","6","","1"
"206444","0","9","6","","1"
"206447","0","9","1","","1"
"206447","1","10","6","","1"
"206453","0","17","6","","1"
"207295","0","7","2","","1"
"207295","1","8","1","","1"
"207297","0","3","1","","1"
"207297","1","4","2","","1"
"207299","0","5","1","","1"
"207299","1","6","2","","1"
"207300","0","13","1","","1"
"207300","1","14","2","","1"
"207301","0","19","1","","1"
"207301","1","20","2","","1"
"207302","0","3","6","","1"
"207303","0","9","1","","1"
"207303","1","10","2","","1"
"207304","0","6","1","","1"
"207304","1","7","2","","1"
"207306","0","36","1","","1"
"207306","1","37","2","","1"
"207307","0","7","1","","1"
"207307","1","8","2","","1"
"207307","2","9","6","","1"
"207308","0","9","1","","1"
"207308","1","10","2","","1"
"207310","0","11","1","","1"
"207310","1","12","2","","1"
"207312","0","12","1","","1"
"207312","1","13","2","","1"
"207314","0","8","1","","1"
"207314","1","9","2","","1"
"207315","0","4","1","","1"
"207315","1","5","2","","1"
"207317","0","7","1","","1"
"207317","1","8","2","","1"
"207321","0","7","1","","1"
"207321","1","8","2","","1"
