"main.id","hpq_aquani.id","aquani_line","aquanitype","aquanitype_o","aquani_vol"
"199719","0","10","6","barungoy","20"
"199719","1","11","6","haba","50"
"199719","2","12","6","hamalit","50"
"199720","0","5","6","haba","50"
"199720","1","6","6","barungoy","50"
"200614","0","7","6","barungoy","1825"
"200614","1","8","6","haba","1825"
"200623","0","4","6","Buraw","7"
"203408","0","7","6","mariano","100"
"203415","0","7","6","Squid","60"
"203415","1","8","6","Tulingan","70"
"203416","0","15","6","Mariano","100"
"203416","1","16","6","buraw","120"
"203418","0","7","6","Mariano","70"
"203422","0","24","6","Burao","50"
"203431","0","7","6","Mariano","50"
"203564","0","11","6","bun ak","1"
"203566","0","12","6","pugita","12"
"203577","0","10","6","yellowpin","3"
"203579","0","7","6","matambaka","5"
"206295","0","9","6","tulingan","20"
"206295","1","10","6","Mariano","100"
"206297","0","5","6","Mariano","100"
"206300","0","6","6","none","80"
"206349","0","10","6","galunggung","3"
"206436","0","7","6","Burao","15"
"206436","1","8","6","galunggong","15"
"206436","2","9","6","tulingan","50"
"206449","0","9","6","galunggong","50"
"206449","1","10","6","Lumahan","50"
"206449","2","11","6","Buraw","60"
"206452","0","7","6","galunggong","60"
"206452","1","8","6","Buraw","60"
"207295","0","9","6","shrimp","84"
"207300","0","15","6","shrimp","192"
"207301","0","21","6","prawn","288"
"207301","1","22","6","crab","180"
"207302","0","4","2","","75000"
"207302","1","5","6","prawns","520"
"207303","0","11","6","shrimp","120"
"207304","0","8","6","shrimp","84"
"207304","1","9","6","tilis","20"
"207306","0","38","6","gangat","105"
"207306","1","39","6","shrimp","100"
"207306","2","40","6","samaral","50"
"207306","3","41","6","crab","105"
"207307","0","10","6","shrimp","168"
"207307","1","11","6","crab","8"
"207307","2","12","6","samaral","12"
"207307","3","13","6","sigapo","12"
"207308","0","11","6","shrimp","126"
"207310","0","13","6","shrimp","36"
"207310","1","14","6","crab","18"
"207312","0","14","6","shrimp","168"
"207314","0","10","6","shrimp","36"
"207315","0","6","6","galunggong","10000"
"207317","0","9","6","shrimp","74"
"207317","1","10","6","kanuping","30"
"207317","2","11","6","sigapo","20"
"207321","0","9","6","shrimp","3000"
"207493","0","9","1","","25"
"210072","0","7","6","matambaka","360"
"210072","1","8","6","tambakol","360"
"210075","0","6","6","matambaka","720"
"210075","1","7","6","galunggong","720"
"210076","0","8","6","Matambaka","600"
"210076","1","9","6","galunggong","600"
"210077","0","9","6","Buraw","60"
"210077","1","10","6","galunggong","70"
"210079","0","9","6","Buraw","500"
"210079","1","10","6","galunggong","500"
"210080","0","3","6","galunggong","300"
"210080","1","4","6","Buraw","300"
"210083","0","7","6","Buraw","1080"
"210091","0","11","6","Galunggong","500"
"213087","0","10","6","Buraw","100"
"213087","1","11","6","Galunggong","100"
"213202","0","21","6","octopus","10"
"213202","1","22","6","Samaral","5"
"213202","2","23","6","shrimp","5"
"213204","0","19","6","octopus","24"
"213204","1","20","6","tilis","26"
"213207","0","10","6","Samaral","7200"
"213207","1","11","6","shrimp","2400"
"213207","2","12","6","octopus","3840"
"213209","0","8","6","haba","80"
"213210","0","9","6","octopus","1"
"213217","0","10","6","octopus","6"
"213220","0","9","2","","50"
"213220","1","10","6","crab","20"
"213220","2","11","6","shrimp","20"
"213221","0","4","6","octopus","3"
"213224","0","9","6","haba","10"
"213226","0","10","6","shrimp","24000"
"213228","0","9","6","octupos","12"
"213228","1","10","6","Samaral","3"
"213230","0","8","6","haba","156"
"213231","0","15","6","octopus","24"
"213231","1","16","6","tilis","24"
"213233","0","11","6","octopus","5"
"213233","1","12","6","tilis","5"
"213235","0","10","6","shrimp","5"
"213235","1","11","6","octopus","5"
"213236","0","7","6","octopus","5"
"213236","1","8","6","tilis","10"
"213238","0","8","6","octopus","3"
"213238","1","9","6","haba","5"
"213239","0","7","6","haba","15"
"213239","1","8","6","octopus","5"
"213241","0","8","2","","30"
"213243","0","11","2","","300"
"213243","1","12","6","Crab","30"
"213243","2","13","6","Shrimp","50"
"213244","0","3","2","","30"
"213244","1","4","6","crab","10"
"213244","2","5","6","shrimp","1"
"213246","0","7","6","tilis","5"
"213319","0","34","6","lapu-lapu","10"
"213319","1","35","6","tilis","15"
"213350","0","8","6","galongong","30"
"213353","0","5","6","Galongong","4"
"213355","0","3","6","bisogo","10"
"213355","1","4","6","mansa","25"
"213356","0","18","6","Galongong","20000"
"213358","0","6","6","galongong","4"
"213358","1","7","6","haba","5"
"213363","0","16","6","samaral","20"
"213363","1","17","6","tilis","10"
"213378","0","9","6","eel","4"
"213378","1","10","6","moslow","2.5"
"213378","2","11","6","rumpi","4"
"213380","0","29","6","eel","20"
"213380","1","30","6","moslo","15"
"216041","0","33","6","Squid","70"
"216048","0","4","6","1","5"
"216050","0","9","6","mariano","50"
"216051","0","16","6","Squids","40"
"216333","0","27","6","tulingan","145"
"216344","0","6","6","tulingan","170"
"216348","0","21","6","pangaluan","70"
"216349","0","13","6","tulingan.","250"
"216491","0","9","6","dilis","300"
"216491","1","10","6","pangaluan","20"
"216491","2","11","6","matangbaka","20"
"216498","0","24","6","maya Maya","20"
"216920","0","7","6","manitis","5"
"216927","0","10","6","flying fish","300"
"216928","0","6","1","","100"
"216931","0","9","1","","50"
"216936","0","11","6","mating baka","5"
"216946","0","7","5","","200"
"216948","0","9","6","tulingan, ","300"
"216948","1","10","6","durado","200"
"216951","0","6","6","tulingan","100"
"216952","0","10","6","tulingan","200"
"216953","0","5","5","","100"
"216953","1","6","6","tulingan","150"
"216955","0","8","6","lumahan","7"
"216955","1","9","6","talakitok","8"
"216959","0","16","5","","100"
"216959","1","17","6","tulingan","100"
"216960","0","14","6","tulingan","400"
"216964","0","14","6","tulingan","150"
"216968","0","7","6","tulingan","1000"
"216971","0","9","6","tulingan","150"
"217046","0","7","6","tulingan","200"
"219724","0","32","6","pusit","84"
"219724","1","33","6","maryano","10"
"219725","0","11","6","galunggong","1"
"219725","1","12","6","matambaka","1"
"219726","0","3","6","samaral","10"
"219742","0","5","6","pusit","10"
"219747","0","8","6","pusit","10"
"219747","1","9","6","marlin","1"
"219749","0","5","6","tilapia","1"
"219751","0","14","6","pusit","10"
"219766","0","9","6","pusit","10"
"219766","1","10","6","tulingan","5"
"221090","0","8","6","Squid","80"
"221091","0","3","6","mariano","60"
"221092","0","8","6","mariano","110"
"221311","0","9","6","galongong","5"
"221315","0","7","6","galongong","20"
"221446","0","4","4","","120"
"221447","0","8","3","","20000"
"221447","1","9","4","","10000"
"221447","2","10","5","","24000"
"221447","3","11","2","","20000"
"221448","0","11","4","","21000"
"221448","1","12","4","","10000"
"221448","2","13","4","","20000"
"221448","3","14","2","","11000"
"221450","0","12","3","","1200"
"221450","1","13","4","","1300"
"221450","2","14","5","","1620"
"221452","0","10","4","","5600"
"221452","1","11","6","tuna","36"
"221454","0","9","2","","10"
"221454","1","10","4","","10"
"221454","2","11","6","tuna","100"
"221456","0","8","3","","25"
"221456","1","9","4","","15"
"221459","0","14","2","","12"
"221459","1","15","4","","10"
"221460","0","7","2","","25"
"221460","1","8","4","","10"
"221461","0","9","3","","1000"
"221461","1","10","3","","840"
"221461","2","11","5","","460"
"221466","0","8","4","","500"
"221466","1","9","5","","600"
"221466","2","10","3","","460"
"221469","0","10","3","","1680"
"221469","1","11","4","","1250"
"221469","2","12","6","fying fish","1235"
"221470","0","6","3","","2500"
"221470","1","7","5","","1280"
"221470","2","8","6","fying fish","1254"
"221472","0","6","4","","250"
"221472","1","7","5","","650"
"221475","0","12","4","","12000"
"221475","1","13","5","","36000"
"221476","0","6","4","","2500"
"221476","1","7","4","","3620"
"221476","2","8","6","fying fish","10500"
"221479","0","10","4","","2400"
"221479","1","11","6","fying fish","2500"
"221481","0","11","4","","110"
"221481","1","12","5","","320"
"221497","0","7","3","","24000"
"221497","1","8","5","","24000"
"221500","0","6","4","","12300"
"221500","1","7","3","","21300"
"221501","0","23","3","","200000"
"221501","1","24","4","","42000"
"221501","2","25","5","","32500"
"221503","0","12","3","","12000"
"221503","1","13","5","","20000"
"221504","0","10","4","","12000"
"221504","1","11","5","","21000"
"221531","0","7","4","","480"
"221531","1","8","2","","480"
"221532","0","3","3","","20"
"221532","1","4","4","","10"
"221534","0","10","4","","60"
"221534","1","11","6","fying fish","650"
"222274","0","6","6","mariano","80"
"222277","0","26","6","mariano","100"
"222284","0","9","6","tamban","50"
"226862","0","10","6","galunggong","60"
"226862","1","11","6","Buraw","50"
"226895","0","11","6","Buraw","100"
"226895","1","12","6","galunggong","100"
"227029","0","12","6","galunggong","100"
"227029","1","13","6","Buraw","100"
"227044","0","11","6","tambakul","100"
"227044","1","12","6","Buraw","100"
"227306","0","4","6","gangat,","3"
"227306","1","5","6","alibangbang","3"
"227306","2","6","6","sigapo","4"
"227306","3","7","6","bunak","4"
