"main.id","hpq_arcdp_mem.id","arcdp_mem_refno"
"217211","0","3"
"227317","0","1"
"247205","0","1"
"252147","0","1"
"253175","0","1"
"253210","0","1"
"253212","0","1"
"273128","0","1"
"273390","0","1"
"273399","0","1"
"310493","0","2"
"310572","0","2"
"310654","0","2"
"315901","0","1"
"335891","0","1"
"335894","0","1"
"335907","0","1"
"335985","0","1"
"446948","0","1"
"446953","0","1"
"380531","0","2"
"386321","0","1"
"451576","0","2"
"891920","0","2"
"891920","1","4"
"150170","0","2"
"150171","0","2"
"150172","0","1"
"150183","0","1"
"150196","0","2"
"150196","1","1"
"252436","0","2"
"253624","0","2"
"253624","1","1"
"253626","0","1"
"253631","0","5"
"253631","1","1"
"253631","2","2"
"253631","3","3"
"253634","0","2"
"253635","0","1"
"253673","0","1"
"253690","0","1"
"253690","1","2"
"253692","0","1"
"253693","0","1"
"252092","0","1"
"252096","0","1"
"252132","0","1"
"236157","0","1"
"236160","0","2"
"236188","0","1"
"236248","0","1"
"236255","0","1"
"349982","0","1"
"349978","0","1"
"349975","0","1"
"349881","0","1"
"349869","0","1"
"349851","0","1"
"349816","0","1"
"349816","1","2"
"222335","0","1"
"222359","0","1"
"230367","0","1"
"230370","0","1"
"249089","0","1"
"249098","0","2"
"249099","0","2"
"249105","0","1"
"249105","1","2"
"249115","0","1"
"249120","0","1"
"249123","0","1"
"249125","0","1"
"249127","0","1"
"249132","0","2"
"249135","0","2"
"249136","0","1"
"252865","0","1"
"256385","0","1"
"256389","0","1"
"256398","0","1"
"256418","0","1"
"263668","0","1"
"263718","0","1"
"263811","0","1"
"263813","0","1"
"263821","0","1"
"270741","0","2"
"270743","0","1"
"270756","0","2"
"270789","0","1"
"270798","0","1"
"270800","0","1"
"270815","0","1"
"270836","0","2"
"270841","0","1"
"270846","0","1"
"273094","0","1"
"273094","1","2"
"273903","0","2"
"273910","0","1"
"273910","1","2"
"273918","0","1"
"273924","0","1"
"273926","0","1"
"273929","0","2"
"273930","0","1"
"273931","0","2"
"273932","0","1"
"273936","0","2"
"273937","0","1"
"273940","0","2"
"273941","0","2"
"274877","0","1"
"274878","0","2"
"275635","0","2"
"275641","0","2"
"275648","0","1"
"275657","0","2"
"275661","0","1"
"275661","1","2"
"275664","0","1"
"275668","0","1"
"275675","0","1"
"275683","0","2"
"275683","1","1"
"275685","0","2"
"275689","0","1"
"275692","0","1"
"275694","0","2"
"275696","0","1"
"275696","1","2"
"282678","0","2"
"282859","0","1"
"283015","0","1"
"292396","0","5"
"293347","0","2"
"299939","0","4"
"310960","0","2"
"314748","0","1"
"338772","0","1"
"339076","0","1"
"341341","0","1"
"267769","0","1"
"345194","0","1"
"345217","0","1"
"345222","0","1"
"270825","0","1"
"270840","0","1"
"1203314","0","1"
"1229132","0","1"
"270818","0","1"
"228884","0","1"
"382563","0","3"
"382563","1","4"
"1476012","0","1"
"1476019","0","1434852734285"
"1476055","0","1"
"1476057","0","1"
"1476069","0","4"
"1476077","0","1"
"1476083","0","1434852734292"
"1599763","0","1"
"1787667","0","1"
"2589917","0","1"
