"main.id","hpq_fudforsch_mem.id","fudforsch_mem_refno"
"199446","0","2"
"203407","0","5"
"203410","0","2"
"203410","1","3"
"203411","0","6"
"203415","0","4"
"203415","1","3"
"203543","0","3"
"203561","0","1"
"203561","1","2"
"203561","2","3"
"203561","3","4"
"203561","4","5"
"203561","5","6"
"203561","6","7"
"203561","7","8"
"206357","0","3"
"206357","1","4"
"206359","0","3"
"207273","0","3"
"207295","0","4"
"207307","0","4"
"207308","0","3"
"207308","1","4"
"207312","0","9"
"207312","1","8"
"207486","0","2"
"207487","0","4"
"207488","0","3"
"207488","1","4"
"207489","0","6"
"207489","1","7"
"213063","0","9"
"213085","0","2"
"213085","1","3"
"213140","0","4"
"213202","0","5"
"213204","0","6"
"213210","0","5"
"213217","0","4"
"213228","0","4"
"213230","0","3"
"213316","0","5"
"213341","0","6"
"213378","0","5"
"216322","0","2"
"216330","0","5"
"216336","0","3"
"216341","0","5"
"216345","0","3"
"216907","0","6"
"216913","0","2"
"216916","0","5"
"216929","0","3"
"216929","1","4"
"216942","0","3"
"216943","0","4"
"216944","0","2"
"216944","1","3"
"216946","0","3"
"216951","0","3"
"216955","0","3"
"216955","1","4"
"216955","2","5"
"216957","0","4"
"216957","1","5"
"216959","0","3"
"216959","1","4"
"216959","2","5"
"216960","0","6"
"216963","0","4"
"216964","0","4"
"216964","1","5"
"216971","0","5"
"216971","1","6"
"219467","0","3"
"219469","0","4"
"219470","0","5"
"219474","0","8"
"219475","0","3"
"219475","1","4"
"219480","0","3"
"219480","1","4"
"219480","2","5"
"219480","3","6"
"219492","0","5"
"219492","1","6"
"219518","0","4"
"219518","1","4"
"219625","0","5"
"219712","0","5"
"219735","0","2"
"219735","1","3"
"219736","0","4"
"221448","0","3"
"221450","0","4"
"221450","1","5"
"221490","0","4"
"221500","0","3"
"221517","0","8"
"221518","0","3"
"221530","0","6"
"227290","0","3"
"227290","1","4"
"227290","2","6"
"227291","0","4"
"227292","0","6"
"227297","0","4"
"227326","0","2"
"227337","0","3"
"227337","1","4"
"227338","0","5"
"227343","0","3"
"227345","0","4"
"227353","0","4"
"227355","0","4"
"227363","0","3"
"227386","0","5"
"227388","0","2"
"227388","1","3"
"227388","2","4"
"227391","0","6"
"227395","0","3"
"227397","0","4"
"227400","0","5"
"228653","0","3"
"228663","0","6"
"228666","0","3"
"228679","0","3"
"228680","0","3"
"228711","0","4"
"228721","0","5"
"228820","0","5"
"231323","0","4"
"231338","0","4"
"231369","0","5"
"231391","0","5"
"231391","1","6"
"231411","0","6"
"231412","0","6"
"231412","1","7"
"231413","0","3"
"231417","0","3"
"231420","0","6"
"231420","1","7"
"231420","2","8"
"231434","0","3"
"231434","1","4"
"231438","0","4"
"231439","0","5"
"231447","0","3"
"231454","0","5"
"232434","0","3"
"232447","0","3"
"232447","1","4"
"232460","0","3"
"232470","0","3"
"232474","0","4"
"232481","0","4"
"232481","1","5"
"232497","0","6"
"232497","1","5"
"232501","0","5"
"232516","0","2"
"232556","0","4"
"232566","0","3"
"233916","0","4"
"234006","0","5"
"234006","1","4"
"234006","2","3"
"235138","0","3"
"235139","0","3"
"235144","0","4"
"235145","0","3"
"235146","0","4"
"235146","1","3"
"235694","0","3"
"235694","1","4"
"235696","0","6"
"235698","0","5"
"235701","0","5"
"235773","0","7"
"236123","0","1"
"236123","1","2"
"236123","2","3"
"236123","3","4"
"236133","0","1"
"236133","1","2"
"236133","2","3"
"236133","3","4"
"236133","4","5"
"236133","5","6"
"236133","6","7"
"236133","7","8"
"236141","0","1"
"236141","1","2"
"236141","2","3"
"236141","3","4"
"240757","0","7"
"240768","0","3"
"240769","0","6"
"240773","0","5"
"240775","0","7"
"240777","0","4"
"240804","0","8"
"240808","0","2"
"240834","0","8"
"240840","0","4"
"240873","0","7"
"240904","0","3"
"245380","0","8"
"245384","0","2"
"245387","0","3"
"245417","0","2"
"245421","0","4"
"245428","0","5"
"245459","0","4"
"245510","0","5"
"247246","0","3"
"247246","1","4"
"247299","0","4"
"247303","0","4"
"247304","0","3"
"247305","0","4"
"247307","0","4"
"247307","1","6"
"247323","0","3"
"247333","0","4"
"247347","0","3"
"247347","1","4"
"250586","0","6"
"250615","0","3"
"251792","0","5"
"251794","0","4"
"251904","0","4"
"252530","0","9"
"255932","0","5"
"263621","0","5"
"263625","0","4"
"263631","0","7"
"263639","0","5"
"263654","0","10"
"265299","0","3"
"265299","1","4"
"266232","0","2"
"266237","0","3"
"266239","0","3"
"266258","0","4"
"266280","0","11"
"266298","0","2"
"266298","1","3"
"266316","0","3"
"266321","0","5"
"266321","1","6"
"266321","2","21"
"266364","0","3"
"266366","0","3"
"266376","0","3"
"266449","0","4"
"272832","0","3"
"272900","0","9"
"274482","0","7"
"274483","0","3"
"274483","1","4"
"274483","2","6"
"274707","0","3"
"274709","0","7"
"274724","0","5"
"274732","0","6"
"274752","0","3"
"274754","0","6"
"274760","0","5"
"274761","0","3"
"274761","1","4"
"274763","0","7"
"274766","0","5"
"274778","0","3"
"274783","0","7"
"274783","1","5"
"274786","0","3"
"274786","1","4"
"293426","0","3"
"293429","0","5"
"293431","0","4"
"299057","0","23"
"299261","0","28"
"299262","0","5"
"299271","0","4"
"299278","0","3"
"299278","1","4"
"299290","0","6"
"308102","0","3"
"311945","0","4"
"311987","0","3"
"312017","0","3"
"312020","0","2"
"312053","0","5"
"312097","0","5"
"315425","0","1"
"315425","1","2"
"317453","0","3"
"317655","0","4"
"317655","1","5"
"155016","0","3"
"155017","0","3"
"168706","0","6"
"171462","0","2"
"171499","0","3"
"171499","1","4"
"171502","0","193"
"171504","0","3"
"171504","1","4"
"171506","0","8"
"171526","0","3"
"171527","0","4"
"171527","1","5"
"171530","0","3"
"171551","0","6"
"171553","0","3"
"171554","0","5"
"171557","0","5"
"171558","0","4"
"171563","0","4"
"171566","0","4"
"171569","0","3"
"171573","0","4"
"171577","0","3"
"171604","0","4"
"172338","0","6"
"172341","0","4"
"172344","0","3"
"172347","0","4"
"172352","0","3"
"172474","0","3"
"172474","1","4"
"175346","0","4"
"175594","0","4"
"175608","0","7"
"175621","0","4"
"175621","1","5"
"176264","0","10"
"176594","0","4"
"176621","0","4"
"179113","0","5"
"179113","1","6"
"182676","0","4"
"182678","0","4"
"200235","0","3"
"200240","0","3"
"200242","0","2"
"200243","0","3"
"200244","0","5"
"231025","0","6"
"231037","0","6"
"231043","0","6"
"237234","0","3"
"237840","0","6"
"243656","0","7"
"243671","0","5"
"243681","0","3"
"243683","0","2"
"246910","0","6"
"246915","0","3"
"246917","0","6"
"246911","0","3"
"246911","1","4"
"253391","0","2"
"253392","0","3"
"263847","0","3"
"263848","0","8"
"264003","0","3"
"268787","0","10"
"268891","0","3"
"269723","0","2"
"271298","0","3"
"271298","1","4"
"271298","2","5"
"280834","0","5"
"281131","0","5"
"283618","0","4"
"301439","0","5"
"303602","0","3"
"303602","1","4"
"303624","0","3"
"303624","1","4"
"314398","0","3"
"322096","0","7"
"322103","0","2"
"322103","1","3"
"322139","0","5"
"322147","0","4"
"322154","0","5"
"322157","0","3"
"322165","0","2"
"322171","0","2"
"322172","0","4"
"322196","0","8"
"322214","0","4"
"322214","1","5"
"322219","0","2"
"322219","1","3"
"322219","2","4"
"322219","3","5"
"322219","4","6"
"322219","5","7"
"322225","0","3"
"322225","1","4"
"322227","0","3"
"322228","0","4"
"322228","1","5"
"322178","0","9"
"326463","0","4"
"326463","1","5"
"326485","0","8"
"327987","0","285"
"358573","0","9"
"370863","0","4"
"377368","0","8"
"384569","0","5"
"384572","0","3"
"384584","0","3"
"384589","0","2"
"397869","0","5"
"400758","0","3"
"400797","0","8"
"400846","0","6"
"400846","1","7"
"406740","0","11"
"411007","0","4"
"411007","1","6"
"411007","2","7"
"411029","0","4"
"411037","0","4"
"411104","0","3"
"414415","0","7"
"414464","0","5"
"414483","0","4"
"456002","0","5"
"466795","0","6"
"471426","0","3"
"471434","0","5"
"471439","0","3"
"471441","0","7"
"471445","0","6"
"471447","0","4"
"471457","0","6"
"477623","0","3"
"477638","0","2"
"478125","0","3"
"482203","0","4"
"482232","0","7"
"487673","0","4"
"505904","0","2"
"238524","0","3"
"301409","0","4"
"253411","0","4"
"558412","0","74"
"558412","1","7"
"558435","0","7"
"558466","0","5"
"558468","0","4"
"562165","0","4"
"564801","0","6"
"564802","0","5"
"564802","1","6"
"564802","2","7"
"564805","0","3"
"564812","0","5"
"564814","0","6"
"564816","0","7"
"564821","0","4"
"568035","0","4"
"568036","0","3"
"568037","0","4"
"568037","1","5"
"568038","0","4"
"568042","0","7"
"568048","0","4"
"568057","0","2"
"568059","0","4"
"568074","0","3"
"568076","0","5"
"568081","0","4"
"570750","0","6"
"570751","0","8"
"570753","0","4"
"570753","1","5"
"570754","0","4"
"570755","0","6"
"570757","0","3"
"570757","1","4"
"573114","0","6"
"573116","0","3"
"573119","0","4"
"573123","0","3"
"573151","0","4"
"573158","0","7"
"576313","0","3"
"322144","0","3"
"351453","0","4"
"385932","0","4"
"1147860","0","3"
"1147860","1","4"
"346747","0","3"
"246914","0","6"
"243668","0","4"
"243694","0","6"
"243694","1","7"
"451580","0","8"
"1170908","0","7"
"482233","0","3"
"384583","0","4"
"456001","0","4"
"568089","0","6"
"1232133","0","5"
"573141","0","4"
"1232237","0","3"
"154918","0","3"
"154918","1","4"
"154919","0","6"
"154919","1","7"
"533814","0","4"
"1695623","0","4"
"892130","0","4"
"406736","0","3"
"619897","0","2"
"568060","0","2"
"452107","0","5"
"452107","1","6"
"471433","0","8"
"1695619","0","3"
"1695654","0","4"
"1736619","0","3"
"1736619","1","5"
"1736619","2","6"
"511411","0","3"
"136818","0","4"
"136818","1","5"
"136823","0","2"
"136873","0","3"
"136873","1","4"
"136874","0","2"
"137386","0","3"
"137386","1","4"
"137518","0","4"
"137550","0","7"
"137684","0","5"
"137699","0","3"
"137786","0","4"
"137932","0","5"
"137932","1","6"
"137932","2","7"
"137964","0","4"
"137964","1","5"
"138852","0","4"
"138852","1","5"
"144278","0","3"
"144278","1","4"
"144320","0","6"
"145795","0","8"
"146333","0","3"
"150174","0","4"
"150182","0","4"
"150200","0","3"
"150201","0","3"
"150204","0","3"
"150207","0","4"
"150207","1","7"
"151832","0","5"
"153714","0","3"
"153717","0","12"
"153763","0","3"
"153763","1","4"
"154458","0","5"
"154458","1","4"
"154459","0","4"
"154462","0","7"
"154485","0","3"
"154487","0","5"
"154493","0","7"
"154502","0","3"
"154502","1","4"
"158253","0","4"
"158280","0","2"
"158281","0","5"
"158281","1","6"
"158282","0","4"
"158291","0","4"
"158295","0","2"
"158307","0","5"
"158310","0","5"
"158317","0","3"
"158317","1","4"
"158450","0","2"
"160478","0","3"
"161768","0","3"
"163959","0","2"
"165978","0","3"
"166002","0","3"
"166002","1","4"
"166010","0","4"
"166016","0","3"
"166123","0","4"
"166131","0","5"
"166132","0","5"
"166161","0","5"
"166162","0","3"
"166162","1","4"
"166165","0","3"
"166168","0","5"
"167379","0","4"
"167379","1","5"
"167382","0","4"
"167388","0","3"
"167388","1","4"
"167402","0","4"
"167405","0","5"
"167413","0","5"
"178742","0","4"
"178747","0","2"
"178747","1","3"
"178750","0","5"
"178755","0","6"
"178764","0","3"
"178764","1","4"
"178769","0","4"
"178769","1","5"
"178775","0","2"
"178775","1","3"
"178778","0","6"
"178784","0","3"
"178791","0","3"
"178820","0","3"
"178960","0","3"
"188984","0","9"
"189457","0","9"
"196148","0","3"
"196148","1","4"
"196152","0","5"
"196156","0","4"
"196160","0","3"
"201975","0","6"
"202353","0","5"
"202363","0","4"
"202369","0","5"
"210527","0","5"
"213544","0","5"
"213550","0","6"
"213555","0","6"
"229650","0","3"
"229650","1","4"
"231736","0","2"
"231736","1","3"
"231736","2","4"
"233175","0","7"
"247386","0","5"
"249739","0","28"
"249748","0","5"
"249750","0","4"
"249771","0","5"
"249773","0","4"
"249778","0","5"
"249781","0","6"
"249792","0","4"
"252183","0","3"
"252194","0","6"
"252431","0","6"
"252431","1","11"
"252431","2","13"
"252431","3","14"
"252436","0","6"
"253604","0","7"
"253605","0","7"
"253607","0","8"
"253611","0","3"
"253613","0","6"
"253615","0","4"
"253616","0","4"
"253622","0","5"
"253623","0","4"
"253626","0","7"
"253670","0","3"
"253670","1","4"
"253673","0","6"
"261324","0","3"
"261358","0","18"
"261372","0","3"
"261383","0","4"
"261400","0","10"
"261523","0","7"
"264990","0","3"
"265002","0","2"
"265011","0","7"
"265022","0","3"
"265052","0","5"
"265061","0","5"
"265125","0","3"
"266711","0","4"
"266790","0","3"
"267435","0","3"
"267435","1","4"
"267435","2","5"
"273220","0","6"
"273221","0","8"
"276945","0","5"
"294801","0","4"
"295100","0","4"
"314538","0","5"
"314538","1","6"
"355243","0","4"
"377496","0","7"
"377871","0","5"
"393404","0","4"
"393408","0","8"
"393561","0","3"
"393563","0","4"
"403924","0","6"
"542581","0","26"
"542585","0","3"
"542641","0","3"
"561126","0","4"
"561367","0","7"
"810650","0","6"
"810650","1","7"
"820793","0","4"
"820793","1","5"
"151507","0","4"
"151510","0","3"
"151512","0","4"
"151515","0","7"
"151515","1","6"
"151518","0","5"
"151524","0","3"
"151528","0","7"
"151529","0","8"
"152545","0","4"
"152553","0","6"
"152555","0","3"
"153611","0","3"
"153613","0","3"
"153614","0","4"
"153617","0","5"
"153657","0","3"
"154435","0","9"
"154439","0","3"
"154441","0","3"
"154445","0","5"
"154450","0","4"
"196161","0","3"
"264926","0","3"
"249726","0","5"
"249749","0","3"
"1136288","0","6"
"1595076","0","3"
"158311","0","6"
"1017374","0","3"
"1017375","0","3"
"165968","0","4"
"166096","0","3"
"166110","0","6"
"380483","0","3"
"380483","1","4"
"228851","0","3"
"161920","0","5"
"397996","0","6"
"398012","0","9"
"398019","0","7"
"398019","1","19"
"415483","0","4"
"415556","0","3"
"820727","0","3"
"820731","0","3"
"820731","1","4"
"820750","0","4"
"820781","0","5"
"252070","0","6"
"252070","1","7"
"252081","0","5"
"252081","1","3"
"252088","0","9"
"252093","0","6"
"252100","0","3"
"252100","1","4"
"252109","0","3"
"252113","0","4"
"252114","0","3"
"252120","0","3"
"252120","1","5"
"252127","0","3"
"252128","0","5"
"252134","0","5"
"252136","0","4"
"252137","0","5"
"145821","0","3"
"1016559","0","5"
"213572","0","3"
"349527","0","4"
"349306","0","6"
"349311","0","8"
"349358","0","6"
"137271","0","4"
"137285","0","3"
"152855","0","5"
"154293","0","6"
"154293","1","7"
"154506","0","8"
"154508","0","6"
"158072","0","8"
"158073","0","3"
"178743","0","3"
"178743","1","4"
"178743","2","5"
"178743","3","6"
"178749","0","3"
"178762","0","6"
"178767","0","2"
"178767","1","3"
"178771","0","2"
"178772","0","1"
"178772","1","2"
"178772","2","3"
"178772","3","4"
"178772","4","5"
"178772","5","6"
"178797","0","6"
"178806","0","3"
"178819","0","3"
"236165","0","3"
"236172","0","3"
"236172","1","4"
"236199","0","3"
"236216","0","3"
"236218","0","4"
"236227","0","3"
"236243","0","6"
"236246","0","3"
"236248","0","5"
"349983","0","2"
"349951","0","7"
"349853","0","3"
"349837","0","3"
"217293","0","4"
"219938","0","4"
"218768","0","6"
"219123","0","5"
"220015","0","5"
"221390","0","5"
"222209","0","3"
"227934","0","4"
"193077","0","33"
"194378","0","5"
