"main.id","hpq_fudforwrk_mem.id","fudforwrk_mem_refno"
"203409","0","2"
"203416","0","5"
"203416","1","11"
"203572","0","1"
"203572","1","2"
"203572","2","3"
"203572","3","4"
"203572","4","5"
"219724","0","4"
"219724","1","3"
"221466","0","1"
"227292","0","1"
"227292","1","2"
"227292","2","3"
"227292","3","4"
"227292","4","5"
"227292","5","6"
"227292","6","7"
"227293","0","1"
"227293","1","2"
"227306","0","1"
"227306","1","2"
"227339","0","1"
"227342","0","13"
"227355","0","1"
"227357","0","4"
"227364","0","1"
"227364","1","2"
"227364","2","3"
"227370","0","1"
"227378","0","1"
"227382","0","2"
"227384","0","1"
"227392","0","1"
"227393","0","1"
"227395","0","1"
"227398","0","1"
"232410","0","1"
"232410","1","2"
"232410","2","3"
"232410","3","4"
"232410","4","5"
"232419","0","1"
"232419","1","2"
"232419","2","3"
"232423","0","1"
"232423","1","2"
"232423","2","3"
"232423","3","4"
"232452","0","1"
"232453","0","1"
"232453","1","2"
"232453","2","3"
"232462","0","1"
"232462","1","2"
"232471","0","1"
"232471","1","2"
"232471","2","3"
"232471","3","4"
"232471","4","5"
"232524","0","1"
"232524","1","2"
"232524","2","3"
"232524","3","4"
"232534","0","1"
"232534","1","2"
"232534","2","3"
"236086","0","1"
"236086","1","3"
"236086","2","8"
"236093","0","1"
"236093","1","2"
"236093","2","3"
"236093","3","4"
"236093","4","5"
"236093","5","6"
"236093","6","7"
"236093","7","8"
"236127","0","1"
"236127","1","2"
"236127","2","3"
"236127","3","5"
"236127","4","6"
"236127","5","7"
"236127","6","8"
"236140","0","1"
"236140","1","2"
"236140","2","3"
"236140","3","4"
"236143","0","1"
"236143","1","2"
"236143","2","4"
"236143","3","3"
"236143","4","5"
"236143","5","6"
"236143","6","7"
"236143","7","8"
"236143","8","9"
"236169","0","1"
"236169","1","2"
"236169","2","3"
"236169","3","4"
"236169","4","5"
"236169","5","6"
"236187","0","1"
"236187","1","2"
"236187","2","3"
"236187","3","4"
"236187","4","5"
"236187","5","6"
"236190","0","1"
"236190","1","2"
"236190","2","3"
"236190","3","4"
"236190","4","5"
"236196","0","1"
"236196","1","2"
"236196","2","3"
"236196","3","4"
"236196","4","5"
"236196","5","6"
"236273","0","1"
"244467","0","2"
"252141","0","1"
"252141","1","2"
"252149","0","1"
"252149","1","2"
"252149","2","3"
"252149","3","4"
"252149","4","5"
"252149","5","6"
"252155","0","1"
"252155","1","2"
"252155","2","3"
"252156","0","1"
"252156","1","2"
"252156","2","3"
"252156","3","4"
"252156","4","5"
"252157","0","1"
"252157","1","2"
"252157","2","3"
"252162","0","1"
"252162","1","2"
"252162","2","3"
"252162","3","4"
"252162","4","5"
"252162","5","6"
"252164","0","1"
"252164","1","2"
"252164","2","3"
"252164","3","4"
"252165","0","1"
"252165","1","2"
"265184","0","10"
"265224","0","2"
"270073","0","1"
"272824","0","1"
"272831","0","1"
"272831","1","2"
"272831","2","3"
"272832","0","1"
"272832","1","2"
"272832","2","3"
"272832","3","4"
"272834","0","1"
"272834","1","2"
"272834","2","3"
"272834","3","4"
"272834","4","5"
"272864","0","1"
"272872","0","2"
"272877","0","2"
"272881","0","1"
"272899","0","1"
"272903","0","1"
"274783","0","1"
"293420","0","5"
"293425","0","2"
"293426","0","2"
"293436","0","4"
"293441","0","1"
"329920","0","2"
"328004","0","2"
"328004","1","3"
"328004","2","4"
"328004","3","5"
"328004","4","1"
"562176","0","3"
"1232003","0","2"
"1232003","1","7"
"150149","0","1"
"150161","0","1"
"150163","0","2"
"150164","0","2"
"150177","0","2"
"150185","0","1"
"150187","0","1"
"150202","0","2"
"210783","0","6"
"213543","0","1"
"213544","0","1"
"213577","0","1"
"213578","0","1"
"213579","0","1"
"261667","0","3"
"261667","1","5"
"266621","0","3"
"294801","0","2"
"378241","0","8"
"764787","0","2"
"764787","1","1"
"265088","0","3"
"1022485","0","1"
"380475","0","1"
"145808","0","2"
"349517","0","1"
"349506","0","1"
"349324","0","1"
"349358","0","1"
"236172","0","1"
"236173","0","1"
"236174","0","1"
"236177","0","3"
"236178","0","2"
"236183","0","21"
"236186","0","4"
"236186","1","6"
"236203","0","1"
"236205","0","1"
"236207","0","1"
"236216","0","1"
"236221","0","1"
"236225","0","1"
"236227","0","1"
"236231","0","1"
"236234","0","1"
"236250","0","2"
"236305","0","7"
"236267","0","2"
"349981","0","1"
"349878","0","1"
"349873","0","1"
"349830","0","1"
"349826","0","1"
"230667","0","1"
"230668","0","1"
"230668","1","2"
"230668","2","3"
"230669","0","1"
"230669","1","2"
"230670","0","1"
"230670","1","2"
"230670","2","3"
"232815","0","2"
"232845","0","1"
"232848","0","2"
"232854","0","1"
"232877","0","4"
"203457","0","1"
"203457","1","2"
"203457","2","3"
"203457","3","4"
"203457","4","5"
"210191","0","1"
"202287","0","1"
"217837","0","4"
"236486","0","1"
"236487","0","2"
"236488","0","2"
"236490","0","2"
"243749","0","1"
"243749","1","2"
"244875","0","5"
"256393","0","1"
"275618","0","2"
"289964","0","1"
"292384","0","1"
"292384","1","2"
"292384","2","3"
"293690","0","1"
"293690","1","2"
"293690","2","3"
"293690","3","4"
"303495","0","1"
"303505","0","1"
"303564","0","1"
"306133","0","3"
"306137","0","2"
"306153","0","4"
"306165","0","1"
"306167","0","3"
"306169","0","3"
"306171","0","1"
"306183","0","1"
"314748","0","3"
"314755","0","1"
"314760","0","1"
"314768","0","1"
"314776","0","1"
"314778","0","2"
"350949","0","1"
"350959","0","1"
"350962","0","1"
"350983","0","1"
"350993","0","2"
"353569","0","1"
"353577","0","2"
"353582","0","1"
"353587","0","1"
"353589","0","2"
"353592","0","1"
"404065","0","1"
"539698","0","1"
"1090139","0","2"
"1229348","0","1"
"1229348","1","5"
"350951","0","1"
"226819","0","1"
"228945","0","5"
"255711","0","1"
"392209","0","9"
"392209","1","10"
"420810","0","3"
"449269","0","3"
"450044","0","4"
"542055","0","1"
"542062","0","1"
"542065","0","1"
"542067","0","1"
"542079","0","1"
"542082","0","1"
"542086","0","1"
"542285","0","1"
"553640","0","1"
"553649","0","1"
"553656","0","1"
"553661","0","1"
"553663","0","1"
"553668","0","1"
"553669","0","1"
"553681","0","1"
"553683","0","1"
"553697","0","1"
"600086","0","3"
"600098","0","1"
"600099","0","1"
"600103","0","1"
"600120","0","1"
"600121","0","1"
"600127","0","3"
"600136","0","1"
"600150","0","1"
"600151","0","1"
"600164","0","2"
"600204","0","1"
"600232","0","1"
"600272","0","1"
"600286","0","1"
"765133","0","2"
"766634","0","1"
"766647","0","2"
"766661","0","1"
"766669","0","1"
"766670","0","2"
"766671","0","1"
"766672","0","1"
"766680","0","1"
"766682","0","2"
"766741","0","1"
"766756","0","1"
"766769","0","2"
