"main.id","hpq_phiheal_indiv_mem.id","phiheal_indiv_mem_refno"
"199722","0","1"
"200621","0","1"
"200640","0","1"
"206327","0","1"
"206435","0","1"
"206436","0","1"
"206440","0","2"
"206771","0","1"
"206799","0","1"
"206799","1","2"
"206799","2","3"
"206799","3","4"
"207320","0","1"
"207483","0","2"
"210075","0","1"
"210075","1","2"
"210075","2","3"
"210075","3","4"
"210077","0","1"
"210083","0","1"
"210083","1","2"
"210083","2","3"
"210083","3","4"
"210093","0","1"
"210093","1","2"
"213087","0","2"
"213202","0","1"
"213204","0","6"
"213204","1","5"
"213204","2","4"
"213204","3","3"
"213204","4","2"
"213204","5","1"
"213207","0","1"
"213207","1","2"
"213207","2","3"
"213220","0","1"
"213220","1","2"
"213220","2","3"
"213220","3","4"
"213233","0","1"
"213233","1","2"
"213236","0","1"
"213236","1","2"
"213236","2","3"
"213243","0","1"
"213243","1","2"
"213243","2","3"
"213243","3","4"
"216540","0","1"
"216540","1","2"
"216540","2","4"
"216540","3","5"
"216540","4","6"
"216931","0","1"
"216931","1","2"
"216931","2","3"
"216931","3","4"
"216938","0","2"
"217005","0","1"
"217018","0","2"
"217018","1","3"
"217028","0","1"
"217050","0","1"
"217050","1","2"
"217050","2","3"
"217050","3","4"
"217061","0","4"
"217086","0","3"
"219405","0","1"
"219405","1","2"
"219405","2","3"
"219451","0","1"
"219451","1","3"
"219451","2","4"
"219451","3","5"
"219451","4","6"
"219451","5","2"
"219717","0","1"
"219717","1","3"
"219719","0","1"
"219719","1","2"
"219719","2","3"
"219729","0","1"
"219733","0","3"
"219734","0","1"
"219734","1","2"
"219735","0","2"
"219735","1","3"
"221447","0","4"
"221447","1","3"
"221448","0","1"
"221497","0","2"
"221508","0","1"
"221513","0","1"
"221524","0","1"
"221538","0","1"
"221538","1","2"
"221894","0","1"
"221894","1","2"
"222044","0","1"
"222044","1","2"
"222052","0","1"
"222052","1","2"
"222052","2","3"
"222052","3","4"
"226906","0","1"
"226906","1","2"
"226971","0","1"
"226971","1","2"
"226971","2","3"
"226976","0","1"
"226991","0","2"
"226991","1","1"
"226991","2","3"
"226991","3","4"
"226995","0","1"
"226996","0","3"
"226996","1","4"
"226996","2","5"
"227978","0","1"
"227978","1","2"
"228669","0","2"
"228670","0","1"
"228734","0","2"
"228770","0","10"
"228795","0","2"
"228795","1","1"
"228795","2","4"
"228879","0","1"
"228879","1","2"
"228879","2","3"
"228879","3","4"
"228879","4","5"
"229081","0","1"
"229097","0","1"
"229112","0","1"
"229112","1","2"
"229112","2","3"
"229211","0","4"
"229211","1","9"
"229211","2","10"
