"main.id","hpq_phiheal_ofw_mem.id","phiheal_ofw_mem_refno"
"199038","0","1"
"199038","1","2"
"199038","2","3"
"199038","3","4"
"203407","0","2"
"203411","0","1"
"203549","0","1"
"203549","1","2"
"203549","2","3"
"206294","0","2"
"206294","1","3"
"206294","2","5"
"206295","0","2"
"206295","1","3"
"206295","2","1"
"206297","0","1"
"206297","1","2"
"206297","2","3"
"206299","0","2"
"206303","0","1"
"206303","1","2"
"206786","0","1"
"207318","0","1"
"207318","1","3"
"207318","2","4"
"207478","0","8"
"213219","0","1"
"213219","1","2"
"213219","2","4"
"213219","3","3"
"213219","4","5"
"213219","5","6"
"213245","0","1"
"213245","1","2"
"213245","2","3"
"213245","3","4"
"213245","4","5"
"217190","0","1"
"219446","0","2"
"219446","1","3"
"219717","0","3"
"219717","1","1"
"219719","0","1"
"219756","0","1"
"219756","1","2"
"219756","2","4"
"219766","0","2"
"219766","1","3"
"219766","2","4"
"219766","3","5"
"219766","4","1"
"222271","0","1"
"222273","0","1"
"222274","0","1"
"222274","1","2"
"222274","2","3"
"222274","3","4"
"226878","0","4"
"226896","0","4"
"226903","0","1"
"228805","0","1"
"228805","1","2"
"228805","2","3"
"228805","3","4"
"228848","0","1"
"228848","1","2"
"228848","2","3"
"228848","3","4"
"229083","0","3"
"229211","0","3"
"229211","1","5"
"229211","2","11"
"229260","0","2"
"231396","0","2"
"231753","0","3"
"231754","0","1"
"231763","0","1"
"231770","0","3"
"231771","0","2"
"231811","0","3"
"231857","0","1"
"231857","1","2"
"231857","2","3"
"231857","3","4"
"232519","0","3"
"233433","0","1"
"233433","1","2"
"233433","2","3"
"233433","3","4"
"233433","4","5"
"233433","5","6"
"233433","6","7"
"233433","7","8"
"233433","8","9"
"235139","0","2"
"235742","0","1"
"235750","0","1"
"236152","0","1"
"236152","1","2"
"236152","2","3"
"236152","3","4"
"236152","4","5"
"242490","0","1"
"242513","0","1"
"245077","0","4"
"245140","0","3"
"245140","1","4"
"245140","2","5"
"245377","0","1"
"245377","1","2"
"245377","2","3"
"247233","0","1"
"247247","0","1"
"247247","1","2"
"247247","2","3"
"247247","3","4"
"247247","4","5"
"247247","5","6"
"247247","6","7"
"247927","0","1"
"247927","1","2"
"248613","0","1"
"248634","0","1"
"248634","1","2"
"248634","2","3"
"248634","3","4"
"248634","4","5"
"261165","0","1"
"261165","1","2"
"261165","2","3"
"261165","3","7"
"261229","0","3"
"261229","1","4"
"261229","2","5"
"261229","3","6"
"261238","0","4"
"261238","1","5"
"261238","2","6"
"261238","3","7"
"261238","4","8"
"261290","0","2"
"261290","1","1"
"261330","0","7"
"266344","0","1"
"266344","1","2"
"270063","0","1"
"272034","0","1"
"272034","1","2"
"272034","2","3"
"272034","3","4"
"272034","4","5"
"272034","5","6"
"272034","6","7"
"274720","0","5"
"285765","0","1"
"292090","0","1"
"299271","0","1"
"299271","1","2"
"299271","2","3"
"299271","3","4"
"299272","0","1"
"308024","0","1"
"308024","1","2"
"308024","2","3"
"308024","3","4"
"308024","4","5"
"309796","0","3"
"309797","0","1"
"309798","0","5"
"309824","0","1"
"309824","1","2"
"309824","2","3"
"309824","3","4"
"309824","4","5"
"309844","0","1"
"309849","0","1"
"309849","1","2"
"309849","2","3"
"309849","3","4"
"309861","0","1"
"309861","1","2"
"309861","2","3"
"309862","0","3"
"309862","1","4"
"309862","2","5"
"309862","3","9"
"309863","0","1"
"309863","1","2"
"309863","2","3"
"309863","3","4"
"309871","0","1"
"309871","1","3"
"309878","0","1"
"309878","1","2"
"309878","2","3"
"309878","3","4"
"309893","0","2"
"309896","0","1"
"309896","1","3"
"309896","2","2"
"309896","3","4"
"309919","0","1"
"309919","1","2"
"309919","2","3"
"309919","3","5"
"309919","4","4"
"309950","0","1"
"309950","1","2"
"309950","2","3"
"309950","3","4"
"309988","0","1"
"309997","0","1"
"310003","0","3"
"310005","0","2"
"310005","1","4"
"310113","0","3"
"310345","0","1"
"310345","1","2"
"310345","2","3"
"310345","3","4"
"310345","4","5"
"310345","5","6"
"310346","0","1"
"310460","0","1"
"310563","0","1"
"310563","1","2"
"310563","2","3"
"310563","3","4"
"310563","4","5"
"310567","0","1"
"310567","1","2"
"310567","2","3"
"310630","0","1"
"310630","1","2"
"310633","0","1"
"310633","1","2"
"310633","2","3"
"310633","3","4"
"314593","0","3"
"317042","0","1"
"317042","1","2"
"317076","0","10"
"317100","0","1"
"317100","1","2"
"317100","2","3"
"317100","3","4"
"328672","0","1"
"328681","0","1"
"328682","0","1"
"328720","0","1"
"328720","1","2"
"328720","2","3"
"329900","0","1"
"329911","0","2"
"340829","0","1"
"340829","1","2"
"340829","2","3"
"340829","3","4"
"340996","0","1"
"351866","0","1"
"351866","1","2"
"351866","2","3"
"351866","3","4"
"352389","0","1"
"352389","1","2"
"352389","2","3"
"353176","0","2"
"171440","0","4"
"176598","0","2"
"176600","0","2"
"176600","1","3"
"176608","0","1"
"179657","0","3"
