"main.id","hpq_phiheal_spon_mem.id","phiheal_spon_mem_refno"
"203407","0","1"
"203407","1","2"
"203407","2","3"
"203407","3","4"
"203407","4","5"
"203407","5","6"
"203415","0","3"
"203415","1","2"
"203415","2","5"
"203550","0","1"
"203550","1","2"
"203550","2","3"
"203550","3","4"
"203550","4","6"
"203550","5","5"
"203550","6","7"
"203561","0","1"
"203561","1","2"
"203561","2","3"
"203561","3","4"
"203561","4","5"
"203561","5","6"
"203561","6","7"
"203561","7","8"
"203563","0","1"
"203563","1","2"
"203567","0","1"
"203567","1","2"
"203567","2","3"
"203567","3","4"
"203567","4","5"
"203569","0","1"
"203569","1","2"
"203569","2","3"
"203569","3","4"
"203569","4","5"
"203569","5","6"
"203569","6","7"
"203569","7","8"
"203571","0","1"
"203571","1","2"
"203571","2","3"
"203571","3","4"
"203571","4","5"
"203571","5","6"
"203571","6","7"
"203571","7","8"
"203572","0","1"
"203574","0","1"
"203574","1","2"
"203574","2","3"
"203574","3","4"
"203574","4","5"
"203574","5","6"
"203576","0","1"
"203576","1","2"
"203576","2","3"
"203576","3","4"
"203576","4","5"
"203577","0","1"
"203577","1","2"
"203579","0","2"
"203579","1","4"
"206442","0","1"
"206442","1","5"
"206443","0","1"
"206443","1","2"
"206443","2","3"
"206443","3","4"
"206446","0","1"
"206446","1","4"
"206450","0","3"
"206450","1","4"
"206453","0","7"
"206453","1","6"
"206453","2","5"
"206454","0","4"
"206454","1","3"
"206455","0","3"
"206455","1","4"
"206455","2","5"
"206738","0","1"
"206738","1","2"
"206738","2","3"
"206738","3","4"
"206738","4","5"
"206791","0","1"
"206791","1","2"
"206791","2","4"
"206791","3","5"
"206798","0","2"
"207276","0","1"
"207276","1","2"
"207276","2","3"
"207282","0","3"
"207282","1","1"
"207294","0","1"
"207294","1","3"
"207294","2","2"
"207296","0","1"
"207296","1","2"
"207297","0","1"
"207297","1","2"
"207300","0","2"
"207300","1","1"
"207301","0","1"
"207301","1","2"
"207303","0","1"
"207306","0","7"
"207306","1","1"
"207308","0","1"
"207308","1","2"
"207308","2","3"
"207308","3","4"
"207312","0","2"
"207312","1","1"
"207312","2","3"
"207312","3","5"
"207312","4","4"
"207312","5","6"
"207312","6","7"
"207312","7","8"
"207312","8","9"
"207314","0","1"
"207314","1","2"
"207314","2","3"
"207314","3","5"
"207314","4","6"
"207314","5","4"
"207315","0","1"
"207315","1","2"
"207315","2","3"
"207316","0","1"
"207316","1","2"
"207316","2","3"
"207316","3","4"
"207326","0","1"
"207326","1","2"
"210070","0","6"
"210070","1","5"
"210071","0","5"
"210071","1","4"
"210073","0","3"
"210073","1","4"
"210073","2","5"
"210090","0","1"
"210090","1","2"
