"main.id","hpq_aquaequip.id","aquaequip_line","aquaequiptype","aquaequiptype_o","aquaequiptype_own"
"69279","0","45","6","","1"
"69280","0","7","6","","1"
"69281","0","4","6","","1"
"69282","0","9","6","","1"
"69282","1","10","6","","1"
"69283","0","9","6","","1"
"69284","0","17","6","","1"
"69285","0","8","6","","1"
"69286","0","6","6","","1"
"69287","0","7","6","","1"
"69288","0","8","6","","2"
"69289","0","6","6","","1"
"69290","0","9","1","","1"
"69291","0","4","6","","1"
"69292","0","8","6","","1"
"71661","0","35","6","","1"
"71662","0","254","6","","1"
"71663","0","100","6","","1"
"71665","0","91","6","","1"
"71671","0","49","6","","1"
"71672","0","19","6","","1"
"71673","0","21","6","","1"
"74377","0","37","6","","1"
"74380","0","25","6","","1"
"74382","0","18","6","","1"
"74384","0","35","6","","1"
"74391","0","8","6","","2"
"74393","0","5","1","","2"
"74400","0","5","6","","1"
"74401","0","4","1","","1"
"74402","0","10","1","","1"
"74402","1","11","6","","1"
"74404","0","8","1","","1"
"74405","0","9","1","","1"
"74405","1","10","6","","1"
"74406","0","9","6","","1"
"74407","0","5","6","","1"
"74408","0","7","1","","1"
"74408","1","100","6","","1"
"74409","0","7","6","","1"
"74410","0","4","1","","1"
"74411","0","3","6","","1"
"74412","0","7","1","","1"
"74413","0","8","1","","1"
"74413","1","9","6","","1"
"74414","0","10","6","","1"
"74415","0","14","1","","1"
"74415","1","15","6","","1"
"74415","2","16","8","Pana","1"
"74416","0","22","6","","1"
"74419","0","8","6","","1"
"74420","0","16","6","","1"
"74422","0","8","6","","1"
"74424","0","7","6","","1"
"74425","0","8","6","","1"
"74426","0","7","6","","1"
"74427","0","37","1","","1"
"74427","1","38","6","","1"
"74428","0","5","1","","1"
"74428","1","6","6","","1"
"74429","0","24","6","","1"
"74430","0","29","6","","1"
"74430","1","30","1","","1"
"74431","0","28","1","","1"
"74431","1","29","6","","1"
"74432","0","153","1","","1"
"74432","1","154","6","","1"
"74433","0","9","6","","2"
"74637","0","27","6","","1"
"74639","0","9","6","","1"
"74434","0","5","6","","2"
"74436","0","5","6","","1"
"77193","0","12","6","","1"
"77194","0","3","6","","1"
"77195","0","10","6","","1"
"77196","0","59","6","","1"
"77197","0","11","6","","1"
"77198","0","7","6","","1"
"77199","0","33","6","","1"
"77200","0","6","6","","1"
"77201","0","7","6","","1"
"77201","1","8","3","","1"
"77202","0","31","6","","1"
"77202","1","32","8","Latak","1"
"85278","0","15","6","","1"
"85280","0","7","6","","1"
"85281","0","12","6","","1"
"85282","0","3","6","","1"
"85283","0","6","6","","1"
"85284","0","91","6","isdang bato","1"
"101935","0","60","6","","1"
"101936","0","13","8","patawpataw","1"
"101936","1","122","6","","1"
"101937","0","11","8","patawpataw","1"
"101940","0","11","6","","1"
"101940","1","12","8","patawpataw","1"
"101941","0","10","8","patawpataw","1"
"101941","1","11","6","","1"
"101942","0","41","6","","1"
"101942","1","42","8","Patawpataw","1"
"101944","0","7","8","patawpataw","1"
"101944","1","111","6","","1"
"101945","0","5","8","patawpataw","1"
"101945","1","61","6","","1"
"101946","0","7","6","","1"
"101947","0","7","1","","1"
"101948","0","9","6","","1"
"101949","0","9","6","","1"
"101952","0","9","6","","1"
"101957","0","11","6","","2"
"101959","0","7","6","","1"
"101960","0","53","6","","1"
"101962","0","7","6","","1"
"101963","0","7","6","","1"
"101964","0","6","6","","2"
"101972","0","5","6","","1"
"101973","0","5","6","","1"
"101975","0","9","6","","1"
"101977","0","7","6","","1"
"101979","0","10","6","","1"
"101981","0","4","6","","1"
"101983","0","3","6","","1"
"101987","0","12","6","","1"
"101989","0","4","6","","1"
"102001","0","21","1","","2"
"102002","0","7","1","","1"
"102003","0","11","6","","1"
"102005","0","7","1","","1"
"102008","0","8","6","","1"
"102008","1","9","1","","1"
"102009","0","7","1","","2"
"102009","1","8","6","","2"
"102010","0","6","1","","2"
"102010","1","26","6","","1"
"104108","0","25","6","","1"
"104109","0","14","6","","1"
"104112","0","22","6","","1"
"104112","1","23","8","Pataw pataw","1"
"104113","0","2","6","","1"
"105651","0","8","1","","1"
"105651","1","9","6","","1"
"105653","0","4","6","","1"
"105653","1","5","1","","1"
"105654","0","5","1","","1"
"105654","1","6","6","","1"
"105656","0","8","1","","1"
"105656","1","9","6","","1"
"105657","0","4","1","","1"
"105657","1","5","6","","1"
"105660","0","9","1","","1"
"105660","1","45","6","","1"
"105661","0","8","6","","1"
"105671","0","9","6","","1"
"105671","1","10","8","latak","1"
