"main.id","hpq_aquani.id","aquani_line","aquanitype","aquanitype_o","aquani_vol"
"69279","0","46","6","sono","15"
"69279","1","47","6","isdang bato","12"
"69280","0","8","6","suno","12"
"69281","0","5","6","suno","30"
"69282","0","49","6","sono","12"
"69282","1","50","6","isdang bato","34"
"69283","0","10","6","sono","18"
"69284","0","18","6","sono","24"
"69285","0","9","6","Isdang bato","144"
"69285","1","83","6","suno","12"
"69286","0","7","6","suno","12"
"69287","0","8","6","Sono","12"
"69287","1","9","6","Isdang bato","180"
"69288","0","9","6","suno","10"
"69288","1","10","6","bisugo","1200"
"69289","0","7","6","suno","12"
"69290","0","10","3","","144"
"69290","1","11","3","","144"
"69290","2","12","3","","144"
"69290","3","13","3","","144"
"69291","0","5","6","suno","13"
"69292","0","9","6","suno","12"
"71661","0","3","6","barangbang","50"
"71661","1","4","6","calasi","50"
"71662","0","53","6","Sono / live fish","30"
"71663","0","7","6","Barangbang/Lapu-lapu","140"
"71664","0","11","6","Isdang bato","50"
"71664","1","12","6","Sono","70"
"71665","0","9","6","Olpot","250"
"71665","1","10","6","Sono","300"
"71666","0","14","6","Sono","300"
"71666","1","15","6","Calasi","300"
"71668","0","9","6","Isdang Bato","300"
"71668","1","10","6","Sono","300"
"71671","0","50","6","Sono","145"
"71672","0","20","6","Sono","130"
"71673","0","22","6","Sono","150"
"74377","0","38","6","Sono","200"
"74378","0","9","6","Sono","300"
"74378","1","10","6","Isdang Bato","150"
"74379","0","11","6","Barangbang","200"
"74379","1","12","6","Isdang bato","150"
"74379","2","13","6","Olpot","100"
"74380","0","11","6","Sono","100"
"74380","1","12","6","Isdang Bato","158"
"74382","0","19","6","Bisugo","150"
"74383","0","12","6","Sono","250"
"74383","1","13","6","Isdang Bato","200"
"74384","0","15","6","Isdang Bato","100"
"74384","1","16","6","Sono","150"
"74384","2","17","6","Lapu- Lapu","100"
"74400","0","46","6","bisugo","30"
"74400","1","47","6","danggit","20"
"74401","0","34","6","bisugo","75"
"74401","1","35","6","dalagang bukid","40"
"74402","0","80","6","bisogo","100"
"74402","1","81","6","dalagang bukid","100"
