"main.id","hpq_arcdp_mem.id","arcdp_mem_refno"
"952446","0","1"
"894912","0","1"
"1816240","0","4"
"1816240","1","5"
"1816240","2","6"
"2247044","0","1"
"2248527","0","1"
"2273914","0","1"
"54112","0","1"
"54112","1","1"
"54112","2","3"
"728010","0","47"
"1289815","0","2"
"851522","0","4"
"851522","1","5"
"860355","0","2"
"876918","0","1"
"876918","1","2"
"876918","2","6"
"1078106","0","2"
"1078106","1","3"
"1078106","2","5"
"1078106","3","6"
"257499","0","1"
"963994","0","3"
"963994","1","4"
"963994","2","5"
"963995","0","3"
"963995","1","4"
"963995","2","5"
"1269353","0","1"
"1269353","1","2"
"1269353","2","3"
"1269353","3","4"
"1269353","4","7"
"1269376","0","2"
"1269407","0","1"
"1269409","0","1"
"1269410","0","5"
"1269410","1","6"
"1269423","0","2"
"1269423","1","1"
"1269424","0","1"
"1269426","0","1"
"1269427","0","1"
"1269429","0","1"
"1269430","0","1"
"1269435","0","1"
"1269436","0","1"
"1269436","1","5"
"1269480","0","2"
"1269493","0","2"
"1269509","0","2"
"1269527","0","1"
"1269527","1","3"
"1269535","0","1"
"1269536","0","5"
"1269540","0","1"
"1269542","0","1"
"1269546","0","2"
"1269547","0","1"
"1269548","0","1"
"1269548","1","2"
"1269549","0","1"
"1269551","0","2"
"1269552","0","1"
"92221","0","1"
"1016022","0","1"
"572655","0","1"
"572658","0","1"
"1728139","0","2"
"1999516","0","1"
"1999516","1","2"
"2135399","0","3"
"2135399","1","4"
"2135399","2","5"
"2288475","0","2"
"2288475","1","3"
"2288475","2","1"
"2324769","0","1"
"2324769","1","2"
"2324769","2","3"
"2324769","3","4"
"2324769","4","5"
"2324769","5","6"
"2324769","6","7"
"2324771","0","1"
"2324771","1","2"
"2324771","2","3"
"2324771","3","4"
"2324771","4","5"
"2324771","5","9"
"2324771","6","6"
"2324771","7","7"
"2324771","8","8"
"2324772","0","1"
"2324773","0","1"
"2324773","1","2"
"2324774","0","4"
"2446511","0","1"
"2446511","1","2"
"2446511","2","3"
"2446511","3","4"
"2446511","4","5"
"2446511","5","6"
"2478176","0","6"
"2478176","1","7"
"2547627","0","1453870666931"
"2547627","1","1453870666932"
"2547627","2","1453870666933"
"68697","0","2"
"68702","0","1"
"68704","0","1"
"68707","0","2"
"68710","0","1"
"68720","0","1"
"119495","0","1"
"119500","0","2"
"119532","0","1"
"119536","0","1"
"119536","1","2"
"119608","0","1"
"218214","0","1"
"484655","0","1"
"289453","0","1"
"393069","0","1"
"398825","0","3"
"398825","1","4"
"398825","2","5"
"419015","0","1"
"448589","0","1"
"200371","0","1"
"258375","0","1"
"258375","1","11"
"258375","2","1"
