"main.id","hpq_cshforwrk_mem.id","cshforwrk_mem_refno"
"1731059","0","1"
"1731059","1","2"
"1731059","2","3"
"1731059","3","5"
"1731059","4","4"
"1731059","5","6"
"2254218","0","1"
"11313","0","2"
"11316","0","1"
"31303","0","2"
"31303","1","1"
"31303","2","3"
"34570","0","1"
"34570","1","2"
"34570","2","3"
"34573","0","3"
"126322","0","1"
"392609","0","2"
"392635","0","2"
"529610","0","1"
"122876","0",""
"122881","0","1"
"516725","0","1"
"516726","0","2"
"520308","0","1"
"523350","0","1"
"555528","0","2"
"530222","0","1"
"530263","0","1"
"2367009","0",""
"680809","0","1"
"680814","0","2"
"730052","0","1"
"467408","0","7"
"842604","0",""
"842604","1",""
"851480","0","2"
"851528","0",""
"866859","0","1"
"866863","0","1"
"912963","0","1"
"912968","0","1"
"912978","0","1"
"918860","0","1"
"1012776","0","4"
"1125245","0","1"
"1174534","0","1"
"1222550","0","2"
"1222550","1","2"
"1222550","2","2"
"1261519","0","2"
"1264759","0","2"
"1281477","0","1"
"903381","0","1"
"891211","0","1"
"257556","0","2"
"390878","0","1"
"390878","1","2"
"1269550","0","1"
"197199","0","5"
"197282","0","1"
"197681","0","1"
"197738","0","1"
"483470","0","1"
"484681","0","1"
"484992","0","1"
"485038","0","1"
"609494","0","1"
"171996","0","2"
"171997","0","1"
"171998","0","1"
"21146","0","2"
"643920","0","1418012847345"
"1196383","0","2"
"2491343","0",""
"89691","0","2"
"99241","0","2"
"104645","0","1"
"105047","0","2"
"115519","0","2"
"116605","0","2"
"119687","0","1"
"119867","0","1"
"119874","0","1"
"119875","0","2"
"122449","0","3"
"122450","0","2"
"122458","0","1"
"122459","0","2"
"122461","0","1"
"122615","0","2"
"122618","0","2"
"122619","0","1"
"122619","1","2"
"122620","0","1"
"122621","0","1"
"122623","0","1"
"122624","0","1"
"122625","0","1"
"200115","0","1"
"248861","0","2"
"291225","0","2"
"291233","0","1"
"291239","0","1"
"291263","0","1"
"291271","0","4"
"293083","0","1"
"293087","0","2"
"293089","0","2"
"293091","0","2"
"293100","0","3"
"293105","0","1407937678873"
"293106","0","1407937678872"
"293108","0","1407937678873"
"293109","0","1407937678872"
"293111","0","1407937678872"
"433856","0","1407937678873"
"433858","0","1407937678873"
"433870","0","1407937678873"
"433873","0","1407937678873"
"433875","0","1407937678873"
"433878","0","1407937678873"
"433881","0","1407937678873"
"433884","0","1407937678874"
"435647","0","1407937678874"
"435648","0","1407937678874"
"435650","0","1407937678874"
"435652","0","1407937678874"
"435655","0","1407937678875"
"435656","0","1407937678875"
"435657","0","1407937678874"
"435660","0","1407937678875"
"443717","0","1"
"443735","0","2"
"443737","0","2"
"443744","0","2"
"444175","0","2"
"444177","0","2"
"444181","0","2"
"444367","0","1"
"444374","0","1"
"494088","0","1"
"565981","0","2"
"565984","0","2"
"565985","0","1"
"582111","0","1"
"582201","0","2"
"582269","0","3"
"582287","0","1"
"582906","0","1413451479238"
"582910","0","1"
"598244","0","2"
"598636","0","4"
"598638","0","2"
"598639","0","2"
"608180","0","2"
"610263","0","1"
"610263","1","2"
"610792","0","2"
"610793","0","1"
"617024","0","2"
"617029","0","1"
"617035","0","1"
"617044","0","1"
"617061","0","1"
"617090","0","1"
"617095","0","1"
"617133","0","1"
"623166","0","1"
"652152","0","1"
"652202","0","1"
"708284","0","1"
"708284","1","2"
"708285","0","1"
"713242","0","1"
"713252","0","2"
"732917","0","1"
"732923","0","1"
"732927","0","1"
"732928","0","1"
"732929","0","2"
"732930","0","1"
"732940","0","1"
"739450","0","1"
"739450","1","2"
"739803","0","1"
"817028","0","1"
"817031","0","1"
"817038","0","2"
"817049","0","2"
"817133","0","2"
"817134","0","1"
"817137","0","2"
"834510","0","1"
"834555","0","2"
"834566","0","2"
"834567","0","2"
"834575","0","2"
"843412","0","1"
"852292","0","1"
"877486","0","1"
"906933","0","3"
"906940","0","1"
"906941","0","1"
"906943","0","1"
"914571","0","2"
"982153","0","1"
"982158","0","2"
"982161","0","2"
"982179","0","3"
"982185","0","1"
"982188","0","1"
"987875","0","1"
"987877","0","2"
"987878","0","9"
"987880","0","2"
"987881","0","1"
