"main.id","hpq_fudforsch_mem.id","fudforsch_mem_refno"
"71666","0","10"
"74429","0","4"
"74639","0","5"
"109794","0","6"
"116792","0","11"
"116800","0","4"
"120246","0","6"
"124119","0","6"
"124121","0","7"
"165589","0","4"
"165589","1","5"
"559636","0","5"
"312433","0","8"
"894897","0","3"
"894897","1","4"
"894924","0","4"
"952436","0","2"
"952461","0","2"
"1722445","0","4"
"1722451","0","5"
"1722451","1","4"
"1722451","2","3"
"1722469","0","6"
"1722469","1","7"
"894864","0","11"
"894869","0","3"
"894870","0","4"
"894871","0","6"
"894874","0","6"
"894877","0","6"
"894879","0","5"
"894880","0","4"
"894880","1","5"
"894881","0","7"
"894884","0","3"
"894884","1","4"
"894884","2","5"
"894884","3","6"
"894884","4","7"
"894884","5","8"
"894886","0","3"
"894888","0","4"
"894894","0","9"
"894895","0","12"
"894902","0","8"
"894904","0","3"
"894919","0","5"
"894921","0","12"
"894921","1","11"
"1728584","0","5"
"1728584","1","4"
"1728590","0","8"
"1728596","0","4"
"1728599","0","7"
"1728599","1","8"
"1728601","0","4"
"1728604","0","7"
"1728604","1","8"
"1728606","0","6"
"1728606","1","7"
"1728606","2","8"
"1728611","0","3"
"1728611","1","4"
"1728612","0","3"
"1728619","0","8"
"1731062","0","10"
"1737516","0","3"
"1737517","0","2"
"1737517","1","4"
"1737517","2","5"
"1737521","0","3"
"1737524","0","4"
"1766860","0","3"
"1766875","0","6"
"1766876","0","5"
"1766878","0","3"
"1766890","0","3"
"1766895","0","5"
"1766909","0","3"
"1766909","1","4"
"1766912","0","4"
"1766912","1","5"
"1766915","0","6"
"1766916","0","3"
"1766921","0","5"
"1766931","0","6"
"1766934","0","4"
"1766938","0","6"
"1766941","0","2"
"1766948","0","5"
"1766951","0","5"
"1766951","1","6"
"1766959","0","3"
"1835953","0","3"
"1835956","0","3"
"1835976","0","6"
"1835976","1","7"
"1835980","0","8"
"1835986","0","5"
"1835989","0","19"
"1835990","0","1"
"1835990","1","2"
"1835993","0","1"
"1835993","1","2"
"1836012","0","1"
"1836099","0","1"
"1844420","0","8"
"1890598","0","3"
"1890721","0","4"
"1890724","0","7"
"1891437","0","5"
"1891467","0","6"
"1891472","0","3"
"1891495","0","6"
"1891496","0","5"
"1891496","1","6"
"1891498","0","3"
"1891502","0","4"
"1917285","0","5"
"1917285","1","6"
"1918011","0","4"
"1918014","0","5"
"1918014","1","4"
"1918014","2","3"
"1997941","0","8"
"1997945","0","4"
"1997949","0","3"
"1997956","0","4"
"1997959","0","7"
"1997959","1","8"
"2220658","0","3"
"2220675","0","1"
"2220683","0","5"
"2220707","0","5"
"2220710","0","3"
"2220721","0","5"
"2220724","0","1"
"2220755","0","5"
"2220755","1","6"
"2220757","0","8"
"2220831","0","4"
"2238673","0","3"
"2238673","1","4"
"2238673","2","5"
"2239130","0","8"
"2239130","1","9"
"2239147","0","5"
"2239793","0","3"
"2247037","0","2"
"2247132","0","2"
"2247208","0","2"
"2254131","0","7"
"2254132","0","4"
"2254134","0","3"
"2254134","1","4"
"2254140","0","3"
"2254145","0","3"
"2254145","1","4"
"2254147","0","6"
"2254202","0","3"
"2254202","1","4"
"2254203","0","8"
"2254204","0","3"
"2254207","0","6"
"2254211","0","3"
"2254211","1","4"
"2254214","0","4"
"2270592","0","9"
"2270592","1","10"
"2270594","0","9"
"2270594","1","10"
"2273882","0","2"
"2273902","0","3"
"11309","0","3"
"11318","0","7"
"11318","1","7"
"11321","0","7"
"11321","1","7"
"31292","0","3"
"31296","0","3"
"31336","0","3"
"34568","0","7"
"34573","0","6"
"44490","0","4"
"44509","0","4"
"44566","0","4"
"54073","0","3"
"54114","0","3"
"54126","0","4"
"104331","0","4"
"104336","0","5"
"104345","0","4"
"104393","0","4"
"104394","0","7"
"104397","0","6"
"104409","0","6"
"104411","0","3"
"119358","0","4"
"119368","0","4"
"119371","0","2"
"119385","0","4"
"133972","0","3"
"133972","1","4"
"133972","2","6"
"1137566","0","3"
"1137566","1","4"
"1137566","2","5"
"122059","0","3"
"122876","0","4"
"161860","0","5"
"161860","1","6"
"161860","2","7"
"203249","0","5"
"279619","0","3"
"415898","0","5"
"323418","0","5"
"323422","0","5"
"323422","1","4"
"379851","0","3"
"516573","0","3"
"516573","1","4"
"516612","0","6"
"516654","0","4"
"516683","0","4"
"516725","0","4"
"516728","0","4"
"516732","0","4"
"516733","0","3"
"516747","0","4"
"520100","0","8"
"520100","1","8"
"520190","0","4"
"520192","0","3"
"520204","0","3"
"520295","0","3"
"520311","0","6"
"520316","0","3"
"523504","0","3"
"523521","0","3"
"523527","0","3"
"523527","1","4"
"524505","0","3"
"524525","0","26"
"524546","0","4"
"524547","0","4"
"524548","0","4"
"524548","1","5"
"524600","0","1"
"528383","0","5"
"528383","1","4"
"530047","0","3"
"534286","0","3"
"534286","1","4"
"538938","0","3"
"539027","0","6"
"539031","0","7"
"539495","0","5"
"539495","1","7"
"539495","2","6"
"545128","0","5"
"545128","1","4"
"548533","0","5"
"555444","0","3"
"559199","0","5"
"559206","0","9"
"559210","0","7"
"559210","1","8"
"559210","2","9"
"559212","0","3"
"564878","0","8"
"575049","0","4"
"594288","0","3"
"602704","0","4"
"603816","0","5"
"603835","0","4"
"534518","0","3"
"604471","0","4"
"604473","0","3"
"604477","0","4"
"604492","0","1420837279289"
"604495","0","1420837279292"
"606036","0","4"
"613400","0","6"
"613484","0","5"
"640815","0","1421226336325"
"640858","0","4"
"656007","0","5"
"656020","0","3"
"656046","0","3"
"656063","0","3"
"656086","0","5"
"656086","1","6"
"656118","0","23"
"656118","1","24"
"660553","0","3"
"660585","0","3"
"539045","0","3"
"539045","1","4"
"530225","0","5"
"530263","0","4"
"530266","0","6"
"534513","0","4"
"667240","0","5"
"667240","1","6"
"675491","0","3"
"675493","0","7"
"675497","0","6"
"675530","0","4"
"675530","1","5"
"675533","0","3"
"675591","0","3"
"675596","0","3"
"675607","0","5"
"716254","0","9"
"716256","0","10"
"716260","0","7"
"725367","0","3"
"725888","0","9"
"725889","0","2"
"727607","0","3"
"814861","0","5"
"816591","0","5"
"830028","0","3"
"884867","0","5"
"884881","0","7"
"884905","0","6"
"884977","0","6"
"885007","0","3"
"885009","0","3"
"968576","0","3"
"1042093","0","4"
"1042792","0","4"
"1232852","0","3"
"1232852","1","7"
"819928","0","1422374678969"
"819928","1","1422374678971"
"819946","0","29"
"819973","0","13"
"820023","0","7"
"820023","1","8"
"1241657","0","5"
"1241710","0","6"
"1241710","1","7"
"1241973","0","6"
"1245755","0","1429539217776"
"1435972","0","3"
"1435976","0","7"
"1435977","0","7"
"1435987","0","5"
"1435990","0","7"
"1435996","0","6"
"1435996","1","7"
"1435998","0","8"
"1436006","0","7"
"1436020","0","4"
"1436022","0","4"
"1436052","0","5"
"1436063","0","4"
"1436065","0","8"
"1705383","0","8"
"1714156","0","17"
"2066550","0","3"
"2066835","0","3"
"2235934","0","3"
"2235934","1","4"
"2235940","0","6"
"2235960","0","5"
"2235987","0","5"
"2235987","1","7"
"2235987","2","8"
"2241197","0","9"
"2241210","0","4"
"2243596","0","1438816880647"
"2387054","0","8"
"2387057","0","4"
"2404546","0","6"
"2404552","0","4"
"2498759","0","5"
"164207","0","5"
"488733","0","7"
"523203","0","7"
"528274","0","3"
"531775","0","4"
"531775","1","5"
"531777","0","5"
"531777","1","6"
"566992","0","5"
"566992","1","6"
"593521","0","5"
"593521","1","6"
"626966","0","4"
"627030","0","3"
"630345","0","6"
"630348","0","5"
"630361","0","3"
"630361","1","4"
"630600","0","21"
"630607","0","4"
"630650","0","5"
"641432","0","5"
"641440","0","6"
"641440","1","5"
"641447","0","6"
"651414","0","3"
"651440","0","4"
"655401","0","7"
"674155","0","6"
"674157","0","4"
"674172","0","7"
"679078","0","8"
"679088","0","8"
"679090","0","4"
"679103","0","5"
"679104","0","4"
"679108","0","4"
"683942","0","6"
"683942","1","7"
"683943","0","3"
"683952","0","5"
"683954","0","5"
"683956","0","5"
"683961","0","4"
"684473","0","5"
"694791","0","8"
"698234","0","3"
"700601","0","7"
"700603","0","3"
"700610","0","16"
"700614","0","5"
"700616","0","10"
"807200","0","4"
"807202","0","4"
"807205","0","5"
"807207","0","13"
"807217","0","5"
"807221","0","5"
"807221","1","6"
"815287","0","8"
"815293","0","4"
"815296","0","7"
"815301","0","4"
"826591","0","7"
"826597","0","5"
"826622","0","4"
"826667","0","4"
"826671","0","5"
"832816","0","4"
"832840","0","3"
"832841","0","5"
"851480","0","7"
"851524","0","7"
"851738","0","27"
"860256","0","5"
"860350","0","3"
"866863","0","9"
"866869","0","6"
"866869","1","5"
"876824","0","3"
"876914","0","2"
"883880","0","7"
"883880","1","8"
"896072","0","9"
"896076","0","5"
"896079","0","4"
"896080","0","3"
"896080","1","4"
"896092","0","8"
"896102","0","5"
"912946","0","2"
"912950","0","8"
"913002","0","5"
"913003","0","3"
"913003","1","4"
"913007","0","6"
"913019","0","13"
"913021","0","4"
"913033","0","6"
"918831","0","4"
"918832","0","3"
"918835","0","3"
"918836","0","3"
"918844","0","5"
"918848","0","7"
"918875","0","3"
"924476","0","6"
"924510","0","5"
"924513","0","3"
"924534","0","4"
"924554","0","3"
"938692","0","4"
"938695","0","5"
"938696","0","5"
"938703","0","6"
"938708","0","4"
"952866","0","6"
"952876","0","9"
"1009095","0","8"
"1012764","0","4"
"631674","0","3"
"1020487","0","7"
"1020489","0","5"
"1020492","0","3"
"1020495","0","4"
"631724","0","4"
"1059649","0","7"
"1059709","0","3"
"1059775","0","6"
"1069378","0","8"
"1069380","0","4"
"1069381","0","5"
"1077560","0","3"
"1077560","1","4"
"1077570","0","3"
"1078271","0","5"
"1093594","0","5"
"1093608","0","6"
"1093609","0","6"
"1093614","0","3"
"1093620","0","5"
"1093627","0","5"
"1094232","0","5"
"1094236","0","3"
"1094252","0","3"
"1102086","0","3"
"1102091","0","5"
"1105014","0","12"
"1105018","0","7"
"1124594","0","3"
"1124595","0","4"
"1124604","0","5"
"1124606","0","5"
"1124607","0","4"
"1124611","0","4"
"1124679","0","3"
"1124707","0","3"
"617125","0","3"
"617130","0","8"
"617132","0","7"
"620005","0","6"
"613051","0","3"
"612537","0","3"
"612540","0","5"
"612534","0","5"
"617124","0","3"
"611729","0","3"
"611729","1","4"
"1132242","0","8"
"1135683","0","6"
"1138237","0","6"
"1145015","0","5"
"1145021","0","4"
"1145021","1","5"
"1145024","0","7"
"1160597","0","3"
"1160597","1","4"
"1160600","0","4"
"1160761","0","1"
"1160927","0","10"
"617120","0","3"
"611740","0","3"
"611740","1","4"
"1163115","0","3"
"1174508","0","4"
"1174515","0","3"
"1174527","0","6"
"1174530","0","3"
"1174532","0","5"
"1177711","0","5"
"1184854","0","4"
"1184858","0","4"
"1194879","0","6"
"1194919","0","5"
"1198959","0","5"
"1211867","0","3"
"1217180","0","5"
"1217186","0","3"
"1217191","0","5"
"1238804","0","3"
"1261518","0","3"
"1264760","0","3"
"1264767","0","4"
"1264768","0","5"
"1267929","0","3"
"1267929","1","4"
"1267937","0","4"
