"main.id","hpq_fudforwrk_mem.id","fudforwrk_mem_refno"
"2254148","0","4"
"2254148","1","3"
"34573","0","3"
"516725","0","1"
"516726","0","2"
"523350","0","1"
"523507","0","1"
"530176","0","1"
"530222","0","1"
"644391","0","7"
"2387093","0","3"
"488733","0","1"
"641417","0","5"
"651387","0","4"
"807208","0","5"
"832850","0","2"
"860347","0","2"
"860347","1","1"
"860347","2","3"
"860347","3","4"
"1077560","0","1"
"1094244","0","3"
"1132220","0","4"
"1177714","0","3"
"1222550","0","1"
"582566","0","7"
"582566","1","8"
"582566","2","9"
"965164","0","1"
"1269504","0","7"
"1269525","0","4"
"1269533","0","3"
"484681","0","1"
"610098","0","1"
"167948","0","1"
"169016","0","3"
"169016","1","4"
"169176","0","3"
"92743","0","2"
"92743","1","3"
"98181","0","1"
"98181","1","2"
"98181","2","3"
"211375","0","5"
"1184275","0","1"
"1184275","1","2"
"1184275","2","3"
"1184275","3","4"
"1184275","4","5"
"21202","0","3"
"21880","0","3"
"34619","0","9"
"231905","0","3"
"231905","1","4"
"254640","0","1"
"579299","0","1"
"2491342","0","3"
"1342985","0","3"
"1600540","0","2"
"1869675","0","6"
"1905849","0","1"
"1917213","0","1"
"1963110","0","1"
"1983675","0","5"
"2040003","0","1"
"2040003","1","2"
"2040009","0","2"
"2041537","0","3"
"1998445","0","1"
"1998445","1","2"
"1998445","2","3"
"2065508","0","1"
"2065508","1","2"
"2065508","2","3"
"2065508","3","4"
"2065508","4","5"
"2095216","0","5"
"2095216","1","4"
"2095216","2","2"
"2095218","0","1"
"2095218","1","2"
"2375605","0","20"
"2375614","0","1"
"814616","0","5"
"814624","0","6"
"63458","0","1"
"63458","1","2"
"81574","0","7"
"125044","0","1"
"218191","0","4"
"232613","0","3"
"232676","0","3"
"232676","1","4"
"652752","0","1"
"159415","0","8"
"693486","0","4"
"614264","0","4"
"635750","0","3"
"559221","0","1"
"559222","0","1"
"559222","1","2"
"559222","2","3"
"1150579","0","1"
"1150579","1","2"
