"main.id","hpq_phiheal_empl_mem.id","phiheal_empl_mem_refno"
"74413","0","1"
"74413","1","2"
"74413","2","4"
"74413","3","5"
"74425","0","4"
"74427","0","11"
"74427","1","12"
"74638","0","1"
"105653","0","1"
"109726","0","1"
"109790","0","1"
"109796","0","1"
"109804","0","1"
"109804","1","2"
"109804","2","3"
"109807","0","1"
"109826","0","2"
"109826","1","3"
"112280","0","1"
"112301","0","1"
"112301","1","2"
"112301","2","3"
"112311","0","2"
"112314","0","1"
"112314","1","2"
"112314","2","3"
"112314","3","4"
"112314","4","5"
"116780","0","1"
"116780","1","2"
"116780","2","3"
"116780","3","4"
"116782","0","1"
"116782","1","2"
"116782","2","3"
"116782","3","4"
"116782","4","5"
"116785","0","1"
"116792","0","4"
"116792","1","9"
"116794","0","1"
"116804","0","1"
"118117","0","7"
"118177","0","1"
"118177","1","2"
"118177","2","3"
"118177","3","4"
"118177","4","5"
"118177","5","6"
"121556","0","3"
"121558","0","1"
"121558","1","2"
"121558","2","3"
"121558","3","4"
"122549","0","1"
"122551","0","1"
"122551","1","2"
"122551","2","4"
"122555","0","2"
"123157","0","1"
"123166","0","3"
"123166","1","1"
"123166","2","2"
"123166","3","5"
"123166","4","4"
"124122","0","2"
"124231","0","1"
"124231","1","2"
"124231","2","3"
"124231","3","4"
"124231","4","5"
"124231","5","6"
"124233","0","1"
"124233","1","2"
"128574","0","3"
"133676","0","1"
"133695","0","1"
"133695","1","2"
"133695","2","3"
"133695","3","4"
"133695","4","6"
"133695","5","5"
"136704","0","2"
"136704","1","3"
"136839","0","1"
"136844","0","2"
"139280","0","1"
"139280","1","2"
"139283","0","4"
"139287","0","1"
"139287","1","2"
"139287","2","3"
"139287","3","4"
"139289","0","1"
"141026","0","2"
"141026","1","1"
"141026","2","3"
"141026","3","4"
"143696","0","1"
"143931","0","1"
"143931","1","2"
"143931","2","3"
"143931","3","4"
"162448","0","1"
"162448","1","2"
"162448","2","4"
"162506","0","4"
"162506","1","3"
"162506","2","5"
"162506","3","6"
"162506","4","1"
"162506","5","2"
"165571","0","1"
"165571","1","2"
"165571","2","3"
"165571","3","4"
"165573","0","1"
"165573","1","2"
"165573","2","3"
"165573","3","4"
"165574","0","1"
"165574","1","2"
"165574","2","3"
"165575","0","1"
"165575","1","2"
"165575","2","3"
"165575","3","4"
"165578","0","1"
"165578","1","2"
"165581","0","1"
"165581","1","2"
"165581","2","3"
"165581","3","4"
"165582","0","1"
"165582","1","2"
"165583","0","1"
"165583","1","2"
"165583","2","3"
"165583","3","4"
"165584","0","4"
"165584","1","1"
"165584","2","2"
"165584","3","3"
"165585","0","1"
"165585","1","2"
"165585","2","3"
"165589","0","1"
"168288","0","1"
"168288","1","2"
"168288","2","3"
"168288","3","4"
"168288","4","5"
"168288","5","6"
"168291","0","1"
"168291","1","2"
"168291","2","3"
"168436","0","1"
"168492","0","1"
"168499","0","1"
"168525","0","1"
"168525","1","2"
"168525","2","3"
"168525","3","4"
"171285","0","1"
"171335","0","1"
"173198","0","1"
"173198","1","2"
"280421","0","4"
"289350","0","1"
"289350","1","2"
"289367","0","1"
"289373","0","1"
"289373","1","2"
"289373","2","6"
"289379","0","1"
"294740","0","1"
"294740","1","2"
"294740","2","3"
"294741","0","1"
"294741","1","2"
"294741","2","3"
"294742","0","1"
"294742","1","2"
"294742","2","3"
"326998","0","1"
"326998","1","2"
"326998","2","3"
"326998","3","4"
"326998","4","5"
"327000","0","1"
"327000","1","2"
"327000","2","3"
"327000","3","4"
"409755","0","5"
"409755","1","6"
"409755","2","2"
"409757","0","1"
"409760","0","4"
"409767","0","4"
"411884","0","1"
"411898","0","1"
"422375","0","1"
"422377","0","1"
"422380","0","2"
"422381","0","2"
"441958","0","3"
"441958","1","4"
"441958","2","5"
"441958","3","6"
"442094","0","1"
"444941","0","1"
"444944","0","1"
"444945","0","1"
"444947","0","1"
"452005","0","3"
"458242","0","1"
"458242","1","2"
"458242","2","3"
"458245","0","2"
"458260","0","1"
"458271","0","2"
"458273","0","1"
"458288","0","1"
"458294","0","1"
"462783","0","1"
"462783","1","2"
"462783","2","3"
"462785","0","1"
"462785","1","2"
"462785","2","3"
"462792","0","1"
"462794","0","2"
"467956","0","3"
"467963","0","1"
"467963","1","20"
"467970","0","2"
"468127","0","2"
"468223","0","2"
"468228","0","1"
"468228","1","2"
"468228","2","3"
"468228","3","4"
"472918","0","1"
"472918","1","2"
"472955","0","1"
"472955","1","2"
"472974","0","1"
"472976","0","2"
"472988","0","1"
"473015","0","1"
"473031","0","1"
"473069","0","3"
"473072","0","1"
"473073","0","1"
"533330","0","1"
"533330","1","2"
"533333","0","1"
"533333","1","2"
"533336","0","1"
"533358","0","1"
"533364","0","3"
"533372","0","1"
"559426","0","1"
"559426","1","2"
"559487","0","2"
"559487","1","3"
"559535","0","1"
"559536","0","1"
"559540","0","1"
"559541","0","2"
"559548","0","1"
"559559","0","1"
"559608","0","5"
"559635","0","1"
"559637","0","1"
"559657","0","1"
"559659","0","1"
"565187","0","2"
"565189","0","1"
"565207","0","1"
"565230","0","1"
"581683","0","5"
"581767","0","2"
"581850","0","1"
"581850","1","5"
"581850","2","3"
"581850","3","6"
"581883","0","1"
"581926","0","1"
"582643","0","1"
"582683","0","1"
"582686","0","1"
"582747","0","1"
"582826","0","4"
"582832","0","3"
"584013","0","3"
"584018","0","1"
"584031","0","1"
"584138","0","1"
"584183","0","1"
"584196","0","1"
"584262","0","1"
"584262","1","2"
"584263","0","1"
"584323","0","2"
"584345","0","2"
"584351","0","1"
"584351","1","3"
"584360","0","1"
"594802","0","1"
"594802","1","2"
"594804","0","1"
"594804","1","2"
"594854","0","2"
