"main.id","hpq_phiheal_indiv_mem.id","phiheal_indiv_mem_refno"
"74403","0","2"
"109726","0","1"
"109796","0","1"
"109826","0","2"
"112276","0","1"
"112276","1","3"
"112276","2","4"
"112280","0","1"
"112301","0","1"
"112301","1","2"
"112301","2","3"
"112302","0","1"
"112302","1","2"
"112302","2","3"
"113798","0","1"
"113798","1","2"
"113798","2","3"
"113798","3","5"
"116792","0","4"
"116792","1","9"
"122549","0","1"
"122551","0","2"
"122551","1","4"
"122566","0","7"
"122566","1","5"
"122567","0","8"
"122567","1","4"
"122568","0","1"
"122570","0","3"
"122600","0","1"
"122600","1","2"
"123153","0","2"
"124205","0","3"
"124207","0","1"
"124207","1","2"
"124231","0","1"
"124235","0","1"
"124235","1","2"
"124235","2","4"
"124236","0","1"
"128574","0","3"
"133680","0","2"
"133680","1","3"
"133680","2","4"
"133687","0","1"
"133687","1","2"
"133687","2","3"
"133704","0","5"
"133704","1","4"
"133704","2","6"
"133706","0","1"
"133715","0","1"
"133715","1","2"
"133715","2","3"
"133715","3","4"
"133719","0","2"
"136703","0","3"
"136834","0","1"
"136834","1","2"
"136834","2","3"
"136836","0","2"
"136836","1","1"
"136836","2","3"
"136836","3","4"
"136836","4","5"
"136836","5","6"
"136845","0","3"
"136845","1","4"
"136847","0","1"
"136847","1","2"
"136847","2","3"
"137756","0","1"
"137756","1","2"
"137765","0","1"
"139282","0","1"
"141011","0","1"
"141011","1","2"
"141011","2","3"
"141013","0","1"
"141014","0","1"
"141014","1","2"
"141014","2","3"
"141014","3","4"
"141014","4","5"
"141014","5","6"
"141014","6","7"
"143697","0","1"
"143932","0","2"
"144001","0","1"
"144001","1","2"
"144001","2","3"
"144001","3","4"
"162433","0","1"
"162433","1","2"
"162433","2","3"
"162445","0","2"
"162445","1","3"
"162502","0","1"
"162502","1","2"
"162502","2","3"
"162502","3","4"
"162502","4","5"
"162505","0","1"
"162505","1","2"
"162505","2","3"
"162505","3","4"
"162505","4","5"
"162510","0","1"
"162510","1","2"
"162510","2","3"
"165572","0","1"
"165572","1","2"
"165572","2","3"
"165576","0","2"
"165578","0","1"
"165578","1","2"
"165578","2","5"
"165597","0","1"
"168348","0","1"
"168348","1","2"
"168348","2","3"
"168348","3","4"
"168475","0","5"
"168475","1","3"
"168476","0","1"
"168477","0","1"
"168482","0","3"
"168482","1","4"
"168483","0","3"
"168483","1","4"
"168489","0","1"
"171285","0","1"
"171319","0","3"
"171326","0","3"
"173036","0","1"
"173036","1","2"
"173036","2","3"
"173038","0","1"
"173038","1","2"
"173038","2","3"
"173197","0","1"
"173197","1","2"
"173197","2","3"
"220432","0","1"
"220432","1","2"
"220432","2","3"
"220432","3","4"
"220432","4","5"
"220437","0","1"
"220437","1","2"
"220437","2","3"
"220437","3","4"
"220438","0","3"
"220438","1","4"
"220438","2","5"
"220438","3","6"
"220456","0","3"
"220456","1","4"
"220456","2","5"
"220456","3","6"
"279705","0","1"
"279711","0","6"
"279712","0","1"
"279712","1","1408521032508"
"279713","0","3"
"279714","0","1"
"279715","0","2"
"279716","0","1"
"279716","1","3"
"279723","0","1"
"279724","0","1"
"280437","0","2"
"280449","0","1"
"280449","1","2"
"285299","0","3"
"285312","0","1"
"285312","1","3"
"285314","0","2"
"285315","0","1"
"289348","0","1"
"289366","0","1"
"326065","0","1"
"326066","0","1"
"326066","1","3"
"326866","0","1"
"326866","1","2"
"326868","0","1"
"326868","1","2"
"326868","2","3"
"326873","0","1"
"326873","1","2"
"326873","2","3"
"326873","3","4"
"326875","0","3"
"326875","1","4"
"326990","0","1"
"326990","1","2"
"326995","0","1"
"326995","1","2"
"326995","2","3"
"409563","0","1"
"409563","1","2"
"409743","0","1"
"409745","0","1"
"409745","1","2"
"409756","0","1"
"411881","0","1"
"411881","1","2"
"411881","2","3"
"411893","0","1"
"441956","0","2"
"441960","0","2"
"442088","0","1"
"442088","1","2"
"443640","0","1"
"443640","1","2"
"443640","2","3"
"443641","0","1"
"443641","1","2"
"443641","2","3"
"443642","0","1"
"443642","1","2"
"443642","2","3"
"443642","3","5"
"443642","4","6"
"444938","0","2"
"458242","0","1"
"458242","1","2"
"458242","2","3"
"462772","0","1"
"462772","1","2"
"462772","2","3"
"462772","3","7"
"462772","4","8"
"462773","0","1"
"462773","1","2"
"462773","2","3"
"462773","3","4"
"462778","0","2"
"462782","0","2"
"462782","1","3"
"462787","0","1"
"462787","1","2"
"462791","0","1"
"468229","0","1"
"468229","1","2"
"468229","2","3"
"468229","3","4"
"468229","4","5"
"468233","0","1"
"468233","1","2"
"468233","2","3"
"468233","3","4"
"472918","0","6"
"472918","1","7"
"472918","2","8"
"472955","0","6"
"472955","1","7"
"472955","2","8"
"533329","0","1"
"533329","1","2"
"533339","0","4"
"533339","1","5"
"533340","0","1"
"533342","0","1"
"533342","1","2"
"533381","0","1"
"533381","1","2"
"533408","0","1"
"533408","1","2"
"565217","0","1"
"565238","0","3"
"565243","0","1"
"565243","1","2"
"565247","0","1"
"565247","1","2"
"565247","2","3"
"581854","0","6"
"581929","0","1"
"581949","0","1"
"582610","0","1"
"582634","0","1"
"582646","0","1"
"582655","0","1"
"582682","0","1"
"582698","0","1"
"584296","0","1408521350891"
"594811","0","1"
"594811","1","2"
"594820","0","1"
"594820","1","2"
"594820","2","3"
"594836","0","1"
"594840","0","2"
"594844","0","1"
"594851","0","3"
"594878","0","1"
"594878","1","5"
"594878","2","6"
"594888","0","1"
"594888","1","2"
"594888","2","3"
"594910","0","1"
"594910","1","2"
"594910","2","3"
"594910","3","4"
"594910","4","5"
"594930","0","1"
"594933","0","1"
"594933","1","2"
"594933","2","3"
"594933","3","4"
"594945","0","1"
"594945","1","2"
"594986","0","2"
"594992","0","2"
"594999","0","1"
"595007","0","3"
"595022","0","3"
"608186","0","1"
"609647","0","3"
"609647","1","4"
"609647","2","5"
"609650","0","3"
"609658","0","3"
"609658","1","5"
"609664","0","1"
"609664","1","2"
"609664","2","3"
"609664","3","4"
"609664","4","5"
"609763","0","1"
"609763","1","2"
"609763","2","3"
"609861","0","1"
"609875","0","1"
"609875","1","2"
"614504","0","4"
"614504","1","3"
"614562","0","1"
"614669","0","1"
"614669","1","2"
"614672","0","1"
"614672","1","2"
"614672","2","3"
"614675","0","1"
"614675","1","2"
"614675","2","3"
"614700","0","7"
"614769","0","1"
"614776","0","1"
"614794","0","1"
"614794","1","2"
"614881","0","1"
"620905","0","1"
"620905","1","2"
"620905","2","3"
"620905","3","4"
"620905","4","5"
"620905","5","6"
"621131","0","3"
"621131","1","4"
"621131","2","6"
"621219","0","2"
"621250","0","1"
"621254","0","2"
"621268","0","1"
"641782","0","2"
"641829","0","1"
"641829","1","2"
"641829","2","3"
"641840","0","3"
"641840","1","4"
