"main.id","hpq_phiheal_spon_mem.id","phiheal_spon_mem_refno"
"69279","0","15"
"69279","1","16"
"69279","2","17"
"69279","3","18"
"69279","4","19"
"69279","5","20"
"69280","0","1"
"69280","1","2"
"69280","2","3"
"69280","3","4"
"69280","4","5"
"69282","0","1"
"69282","1","2"
"69282","2","3"
"69282","3","4"
"69282","4","5"
"69282","5","6"
"69282","6","7"
"69282","7","8"
"69283","0","1"
"69283","1","2"
"69283","2","3"
"69283","3","4"
"69283","4","5"
"69283","5","6"
"69283","6","7"
"69283","7","8"
"69284","0","1"
"69284","1","2"
"69284","2","3"
"69284","3","4"
"69284","4","5"
"69284","5","6"
"69285","0","1"
"69285","1","2"
"69285","2","3"
"69285","3","4"
"69285","4","5"
"69285","5","6"
"69285","6","7"
"69286","0","1"
"69286","1","2"
"69286","2","3"
"69286","3","4"
"69286","4","5"
"69287","0","1"
"69287","1","2"
"69287","2","3"
"69287","3","4"
"69288","0","1"
"69288","1","2"
"69288","2","3"
"69288","3","4"
"69288","4","5"
"69288","5","6"
"69288","6","7"
"69290","0","1"
"69290","1","5"
"69290","2","3"
"69290","3","4"
"69290","4","5"
"71665","0","1"
"71665","1","2"
"71665","2","5"
"71668","0","1"
"71668","1","2"
"71668","2","3"
"71668","3","4"
"71668","4","5"
"71668","5","6"
"71668","6","7"
"71668","7","8"
"71669","0","1"
"71669","1","2"
"71669","2","3"
"71669","3","4"
"71669","4","5"
"71669","5","6"
"71669","6","7"
"71671","0","1"
"71671","1","2"
"71671","2","3"
"71671","3","4"
"71671","4","5"
"71672","0","1"
"71672","1","2"
"71672","2","3"
"71673","0","1"
"71673","1","2"
"71673","2","3"
"71673","3","4"
"74377","0","1"
"74377","1","2"
"74377","2","3"
"74377","3","4"
"74377","4","5"
"74377","5","6"
"74378","0","1"
"74378","1","2"
"74378","2","3"
"74378","3","4"
"74378","4","5"
"74379","0","1"
"74379","1","2"
"74379","2","3"
"74379","3","4"
"74379","4","5"
"74379","5","6"
"74379","6","7"
"74380","0","1"
"74380","1","2"
"74380","2","3"
"74380","3","4"
"74380","4","5"
"74380","5","6"
"74383","0","1"
"74383","1","2"
"74383","2","3"
"74383","3","4"
"74383","4","5"
"74383","5","6"
"74383","6","8"
"74383","7","8"
"74384","0","1"
"74384","1","2"
"74384","2","3"
"74384","3","4"
"74384","4","5"
"74384","5","10"
"74384","6","6"
"74384","7","7"
"74384","8","8"
"74384","9","9"
"74391","0","1"
"74391","1","2"
"74391","2","3"
"74391","3","4"
"74391","4","5"
"74391","5","6"
"74391","6","7"
"74404","0","1"
"74404","1","2"
"74404","2","3"
"74404","3","4"
"74404","4","5"
"74404","5","6"
